"r0","scenario","date","n_reps","median","q25","q75","q025","q975"
1.45,"conflict","2026-09-01",330,2557,1433,4384,489,11910
1.45,"conflict","2026-12-31",330,14250,6623,26853,738,73348
1.45,"conflict","2026-02-01",330,1,1,1,1,1
1.45,"conflict","final_size [298/330 hit 75000-case cap]",330,75002,75001,75004,764,75014
1.45,"flat","2026-09-01",330,2334,1228,4374,434,11656
1.45,"flat","2026-12-31",330,5092,2171,9998,454,25483
1.45,"flat","2026-02-01",330,1,1,1,1,1
1.45,"flat","final_size [203/330 hit 75000-case cap]",330,75001,5191,75003,454,75011
1.45,"linear_to_90","2026-09-01",330,2039,1125,3770,489,9564
1.45,"linear_to_90","2026-12-31",330,2498,1418,4775,502,12001
1.45,"linear_to_90","2026-02-01",330,1,1,1,1,1
1.45,"linear_to_90","final_size [0/330 hit 75000-case cap]",330,2573,1432,5098,502,12633
1.45,"linear_to_95","2026-09-01",330,2168,1131,4036,479,9079
1.45,"linear_to_95","2026-12-31",330,2552,1285,4697,491,10712
1.45,"linear_to_95","2026-02-01",330,1,1,1,1,1
1.45,"linear_to_95","final_size [0/330 hit 75000-case cap]",330,2578,1285,4826,491,11039
1.45,"linear_to_95_dec","2026-09-01",330,2060,1159,3806,450,9551
1.45,"linear_to_95_dec","2026-12-31",330,2936,1556,5798,471,15133
1.45,"linear_to_95_dec","2026-02-01",330,1,1,1,1,1
1.45,"linear_to_95_dec","final_size [0/330 hit 75000-case cap]",330,3048,1624,6019,471,16560
1.45,"logistic","2026-09-01",330,2012,1167,3717,469,9219
1.45,"logistic","2026-12-31",330,3478,1954,6860,556,16984
1.45,"logistic","2026-02-01",330,1,1,1,1,1
1.45,"logistic","final_size [0/330 hit 75000-case cap]",330,5965,2363,13112,556,43212
1.5,"conflict","2026-09-01",330,3334,1905,6650,720,16524
1.5,"conflict","2026-12-31",330,27610,12958,54176,1665,75003
1.5,"conflict","2026-02-01",330,1,1,1,1,1
1.5,"conflict","final_size [325/330 hit 75000-case cap]",330,75002,75001,75005,75001,75018
1.5,"flat","2026-09-01",330,2934,1508,6166,617,21800
1.5,"flat","2026-12-31",330,8450,3722,17275,757,62251
1.5,"flat","2026-02-01",330,1,1,1,1,1
1.5,"flat","final_size [300/330 hit 75000-case cap]",330,75002,75001,75005,894,75015
1.5,"linear_to_90","2026-09-01",330,3013,1625,4762,526,14002
1.5,"linear_to_90","2026-12-31",330,3903,2071,7040,621,20599
1.5,"linear_to_90","2026-02-01",330,1,1,1,1,1
1.5,"linear_to_90","final_size [0/330 hit 75000-case cap]",330,4291,2087,7732,621,23103
1.5,"linear_to_95","2026-09-01",330,2370,1307,4970,552,12654
1.5,"linear_to_95","2026-12-31",330,3041,1546,6296,608,15484
1.5,"linear_to_95","2026-02-01",330,1,1,1,1,1
1.5,"linear_to_95","final_size [0/330 hit 75000-case cap]",330,3254,1611,6509,608,15715
1.5,"linear_to_95_dec","2026-09-01",330,2856,1611,5564,611,20150
1.5,"linear_to_95_dec","2026-12-31",330,4878,2482,9286,667,33276
1.5,"linear_to_95_dec","2026-02-01",330,1,1,1,1,1
