"scenario","scenario_label","relative_day","prob_hosp","delay_hosp","prob_unsafe_funeral_comm","prob_unsafe_funeral_hosp","prob_unsafe_funeral_etu","prop_etu","ipc_helper","q_value"
"conflict","conflict",0,0,6,1,0.05,0,0,0,0
"conflict","conflict",1,0,6,1,0.05,0,0,0,0
"conflict","conflict",2,0,6,1,0.05,0,0,0,0
"conflict","conflict",3,0,6,1,0.05,0,0,0,0
"conflict","conflict",4,0,6,1,0.05,0,0,0,0
"conflict","conflict",5,0,6,1,0.05,0,0,0,0
"conflict","conflict",6,0,6,1,0.05,0,0,0,0
"conflict","conflict",7,0,6,1,0.05,0,0,0,0
"conflict","conflict",8,0,6,1,0.05,0,0,0,0
"conflict","conflict",9,0,6,1,0.05,0,0,0,0
"conflict","conflict",10,0,6,1,0.05,0,0,0,0
"conflict","conflict",11,0,6,1,0.05,0,0,0,0
"conflict","conflict",12,0,6,1,0.05,0,0,0,0
"conflict","conflict",13,0,6,1,0.05,0,0,0,0
"conflict","conflict",14,0,6,1,0.05,0,0,0,0
"conflict","conflict",15,0,6,1,0.05,0,0,0,0
"conflict","conflict",16,0,6,1,0.05,0,0,0,0
"conflict","conflict",17,0,6,1,0.05,0,0,0,0
"conflict","conflict",18,0,6,1,0.05,0,0,0,0
"conflict","conflict",19,0,6,1,0.05,0,0,0,0
"conflict","conflict",20,0,6,1,0.05,0,0,0,0
"conflict","conflict",21,0,6,1,0.05,0,0,0,0
"conflict","conflict",22,0,6,1,0.05,0,0,0,0
"conflict","conflict",23,0,6,1,0.05,0,0,0,0
"conflict","conflict",24,0,6,1,0.05,0,0,0,0
"conflict","conflict",25,0,6,1,0.05,0,0,0,0
"conflict","conflict",26,0,6,1,0.05,0,0,0,0
"conflict","conflict",27,0,6,1,0.05,0,0,0,0
"conflict","conflict",28,0,6,1,0.05,0,0,0,0
"conflict","conflict",29,0,6,1,0.05,0,0,0,0
"conflict","conflict",30,0,6,1,0.05,0,0,0,0
"conflict","conflict",31,0,6,1,0.05,0,0,0,0
"conflict","conflict",32,0,6,1,0.05,0,0,0,0
"conflict","conflict",33,0,6,1,0.05,0,0,0,0
"conflict","conflict",34,0,6,1,0.05,0,0,0,0
"conflict","conflict",35,0,6,1,0.05,0,0,0,0
"conflict","conflict",36,0,6,1,0.05,0,0,0,0
"conflict","conflict",37,0,6,1,0.05,0,0,0,0
"conflict","conflict",38,0,6,1,0.05,0,0,0,0
"conflict","conflict",39,0,6,1,0.05,0,0,0,0
"conflict","conflict",40,0,6,1,0.05,0,0,0,0
"conflict","conflict",41,0,6,1,0.05,0,0,0,0
"conflict","conflict",42,0,6,1,0.05,0,0,0,0
"conflict","conflict",43,0,6,1,0.05,0,0,0,0
"conflict","conflict",44,0,6,1,0.05,0,0,0,0
"conflict","conflict",45,0,6,1,0.05,0,0,0,0
"conflict","conflict",46,0,6,1,0.05,0,0,0,0
"conflict","conflict",47,0,6,1,0.05,0,0,0,0
"conflict","conflict",48,0,6,1,0.05,0,0,0,0
"conflict","conflict",49,0,6,1,0.05,0,0,0,0
"conflict","conflict",50,0,6,1,0.05,0,0,0,0
"conflict","conflict",51,0,6,1,0.05,0,0,0,0
"conflict","conflict",52,0,6,1,0.05,0,0,0,0
"conflict","conflict",53,0,6,1,0.05,0,0,0,0
