"scenario","scenario_label","relative_day","prob_hosp","delay_hosp","prob_unsafe_funeral_comm","prob_unsafe_funeral_hosp","prob_unsafe_funeral_etu","prop_etu","ipc_helper","q_value"
"flat","flat",0,0,6,1,0.05,0,0,0,0
"flat","flat",1,0,6,1,0.05,0,0,0,0
"flat","flat",2,0,6,1,0.05,0,0,0,0
"flat","flat",3,0,6,1,0.05,0,0,0,0
"flat","flat",4,0,6,1,0.05,0,0,0,0
"flat","flat",5,0,6,1,0.05,0,0,0,0
"flat","flat",6,0,6,1,0.05,0,0,0,0
"flat","flat",7,0,6,1,0.05,0,0,0,0
"flat","flat",8,0,6,1,0.05,0,0,0,0
"flat","flat",9,0,6,1,0.05,0,0,0,0
"flat","flat",10,0,6,1,0.05,0,0,0,0
"flat","flat",11,0,6,1,0.05,0,0,0,0
"flat","flat",12,0,6,1,0.05,0,0,0,0
"flat","flat",13,0,6,1,0.05,0,0,0,0
"flat","flat",14,0,6,1,0.05,0,0,0,0
"flat","flat",15,0,6,1,0.05,0,0,0,0
"flat","flat",16,0,6,1,0.05,0,0,0,0
"flat","flat",17,0,6,1,0.05,0,0,0,0
"flat","flat",18,0,6,1,0.05,0,0,0,0
"flat","flat",19,0,6,1,0.05,0,0,0,0
"flat","flat",20,0,6,1,0.05,0,0,0,0
"flat","flat",21,0,6,1,0.05,0,0,0,0
"flat","flat",22,0,6,1,0.05,0,0,0,0
"flat","flat",23,0,6,1,0.05,0,0,0,0
"flat","flat",24,0,6,1,0.05,0,0,0,0
"flat","flat",25,0,6,1,0.05,0,0,0,0
"flat","flat",26,0,6,1,0.05,0,0,0,0
"flat","flat",27,0,6,1,0.05,0,0,0,0
"flat","flat",28,0,6,1,0.05,0,0,0,0
"flat","flat",29,0,6,1,0.05,0,0,0,0
"flat","flat",30,0,6,1,0.05,0,0,0,0
"flat","flat",31,0,6,1,0.05,0,0,0,0
"flat","flat",32,0,6,1,0.05,0,0,0,0
"flat","flat",33,0,6,1,0.05,0,0,0,0
"flat","flat",34,0,6,1,0.05,0,0,0,0
"flat","flat",35,0,6,1,0.05,0,0,0,0
"flat","flat",36,0,6,1,0.05,0,0,0,0
"flat","flat",37,0,6,1,0.05,0,0,0,0
"flat","flat",38,0,6,1,0.05,0,0,0,0
"flat","flat",39,0,6,1,0.05,0,0,0,0
"flat","flat",40,0,6,1,0.05,0,0,0,0
"flat","flat",41,0,6,1,0.05,0,0,0,0
"flat","flat",42,0,6,1,0.05,0,0,0,0
"flat","flat",43,0,6,1,0.05,0,0,0,0
"flat","flat",44,0,6,1,0.05,0,0,0,0
"flat","flat",45,0,6,1,0.05,0,0,0,0
"flat","flat",46,0,6,1,0.05,0,0,0,0
"flat","flat",47,0,6,1,0.05,0,0,0,0
"flat","flat",48,0,6,1,0.05,0,0,0,0
"flat","flat",49,0,6,1,0.05,0,0,0,0
"flat","flat",50,0,6,1,0.05,0,0,0,0
"flat","flat",51,0,6,1,0.05,0,0,0,0
"flat","flat",52,0,6,1,0.05,0,0,0,0
"flat","flat",53,0,6,1,0.05,0,0,0,0
"flat","flat",54,0,6,1,0.05,0,0,0,0
"flat","flat",55,0,6,1,0.05,0,0,0,0
"flat","flat",56,0,6,1,0.05,0,0,0,0
"flat","flat",57,0,6,1,0.05,0,0,0,0
"flat","flat",58,0,6,1,0.05,0,0,0,0
"flat","flat",59,0,6,1,0.05,0,0,0,0
"flat","flat",60,0,6,1,0.05,0,0,0,0
"flat","flat",61,0,6,1,0.05,0,0,0,0
"flat","flat",62,0,6,1,0.05,0,0,0,0
"flat","flat",63,0,6,1,0.05,0,0,0,0
"flat","flat",64,0,6,1,0.05,0,0,0,0
"flat","flat",65,0,6,1,0.05,0,0,0,0
"flat","flat",66,0,6,1,0.05,0,0,0,0
"flat","flat",67,0,6,1,0.05,0,0,0,0
"flat","flat",68,0,6,1,0.05,0,0,0,0
"flat","flat",69,0,6,1,0.05,0,0,0,0
"flat","flat",70,0,6,1,0.05,0,0,0,0
"flat","flat",71,0,6,1,0.05,0,0,0,0
"flat","flat",72,0,6,1,0.05,0,0,0,0
"flat","flat",73,0,6,1,0.05,0,0,0,0
"flat","flat",74,0,6,1,0.05,0,0,0,0
"flat","flat",75,0,6,1,0.05,0,0,0,0
"flat","flat",76,0,6,1,0.05,0,0,0,0
"flat","flat",77,0,6,1,0.05,0,0,0,0
"flat","flat",78,0,6,1,0.05,0,0,0,0
"flat","flat",79,0,6,1,0.05,0,0,0,0
"flat","flat",80,0,6,1,0.05,0,0,0,0
"flat","flat",81,0,6,1,0.05,0,0,0,0
"flat","flat",82,0,6,1,0.05,0,0,0,0
"flat","flat",83,0,6,1,0.05,0,0,0,0
"flat","flat",84,0,6,1,0.05,0,0,0,0
"flat","flat",85,0,6,1,0.05,0,0,0,0
"flat","flat",86,0.024907470741648,5.85989547707823,0.971979095415646,0.0487546264629176,0,0.028020904584354,0.028020904584354,0.03113433842706
"flat","flat",87,0.028084106166884,5.84202690281128,0.968405380562255,0.0485957946916558,0,0.0315946194377445,0.0315946194377445,0.035105132708605
"flat","flat",88,0.03185627020358,5.82080848010486,0.964161696020972,0.048407186489821,0,0.0358383039790275,0.0358383039790275,0.039820337754475
"flat","flat",89,0.036342954787764,5.79557087931883,0.959114175863765,0.0481828522606118,0,0.0408858241362345,0.0408858241362345,0.045428693484705
"flat","flat",90,0.0416864246932907,5.76551386110024,0.953102772220048,0.0479156787653355,0,0.046897227779952,0.046897227779952,0.0521080308666133
"flat","flat",91,0.048055215485112,5.72968941289624,0.945937882579249,0.0475972392257444,0,0.054062117420751,0.054062117420751,0.06006901935639
"flat","flat",92,0.0556460130633973,5.68699117651839,0.937398235303678,0.0472176993468301,0,0.062601764696322,0.062601764696322,0.0695575163292467
"flat","flat",93,0.064682963771168,5.63615832878718,0.927231665757436,0.0467658518114416,0,0.072768334242564,0.072768334242564,0.08085370471396
"flat","flat",94,0.075412276691144,5.57580594361232,0.915161188722463,0.0462293861654428,0,0.084838811277537,0.084838811277537,0.09426534586393
"flat","flat",95,0.088089888376424,5.50449437788262,0.900898875576523,0.0455955055811788,0,0.099101124423477,0.099101124423477,0.11011236047053
"flat","flat",96,0.102961122221431,5.42084368750445,0.884168737500891,0.0448519438889285,0,0.115831262499109,0.115831262499109,0.128701402776788
"flat","flat",97,0.120233144611699,5.3236885615592,0.864737712311839,0.0439883427694151,0,0.135262287688161,0.135262287688161,0.150291430764623
"flat","flat",98,0.140045764573564,5.2122425742737,0.84244851485474,0.0429977117713218,0,0.157551485145259,0.157551485145259,0.175057205716955
"flat","flat",99,0.162452012202493,5.08620743136098,0.817241486272195,0.0418773993898753,0,0.182758513727805,0.182758513727805,0.203065015253117
