"scenario","scenario_label","relative_day","prob_hosp","delay_hosp","prob_unsafe_funeral_comm","prob_unsafe_funeral_hosp","prob_unsafe_funeral_etu","prop_etu","ipc_helper","q_value"
"linear_to_90","linear_to_90",0,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",1,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",2,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",3,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",4,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",5,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",6,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",7,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",8,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",9,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",10,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",11,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",12,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",13,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",14,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",15,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",16,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",17,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",18,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",19,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",20,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",21,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",22,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",23,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",24,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",25,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",26,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",27,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",28,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",29,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",30,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",31,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",32,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",33,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",34,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",35,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",36,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",37,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",38,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",39,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",40,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",41,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",42,0,6,1,0.05,0,0,0,0
"linear_to_90","linear_to_90",43,0,6,1,0.05,0,0,0,0
