"scenario","scenario_label","relative_day","prob_hosp","delay_hosp","prob_unsafe_funeral_comm","prob_unsafe_funeral_hosp","prob_unsafe_funeral_etu","prop_etu","ipc_helper","q_value"
"linear_to_95_dec","linear_to_95_dec",0,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",1,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",2,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",3,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",4,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",5,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",6,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",7,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",8,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",9,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",10,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",11,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",12,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",13,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",14,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",15,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",16,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",17,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",18,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",19,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",20,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",21,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",22,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",23,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",24,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",25,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",26,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",27,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",28,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",29,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",30,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",31,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",32,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",33,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",34,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",35,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",36,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",37,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",38,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",39,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",40,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",41,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",42,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",43,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",44,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",45,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",46,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",47,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",48,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",49,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",50,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",51,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",52,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",53,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",54,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",55,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",56,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",57,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",58,0,6,1,0.05,0,0,0,0
"linear_to_95_dec","linear_to_95_dec",59,0,6,1,0.05,0,0,0,0
