"scenario","scenario_label","relative_day","prob_hosp","delay_hosp","prob_unsafe_funeral_comm","prob_unsafe_funeral_hosp","prob_unsafe_funeral_etu","prop_etu","ipc_helper","q_value"
"logistic","logistic",0,0,6,1,0.05,0,0,0,0
"logistic","logistic",1,0,6,1,0.05,0,0,0,0
"logistic","logistic",2,0,6,1,0.05,0,0,0,0
"logistic","logistic",3,0,6,1,0.05,0,0,0,0
"logistic","logistic",4,0,6,1,0.05,0,0,0,0
"logistic","logistic",5,0,6,1,0.05,0,0,0,0
"logistic","logistic",6,0,6,1,0.05,0,0,0,0
"logistic","logistic",7,0,6,1,0.05,0,0,0,0
"logistic","logistic",8,0,6,1,0.05,0,0,0,0
"logistic","logistic",9,0,6,1,0.05,0,0,0,0
"logistic","logistic",10,0,6,1,0.05,0,0,0,0
"logistic","logistic",11,0,6,1,0.05,0,0,0,0
"logistic","logistic",12,0,6,1,0.05,0,0,0,0
"logistic","logistic",13,0,6,1,0.05,0,0,0,0
"logistic","logistic",14,0,6,1,0.05,0,0,0,0
"logistic","logistic",15,0,6,1,0.05,0,0,0,0
"logistic","logistic",16,0,6,1,0.05,0,0,0,0
"logistic","logistic",17,0,6,1,0.05,0,0,0,0
"logistic","logistic",18,0,6,1,0.05,0,0,0,0
"logistic","logistic",19,0,6,1,0.05,0,0,0,0
"logistic","logistic",20,0,6,1,0.05,0,0,0,0
"logistic","logistic",21,0,6,1,0.05,0,0,0,0
"logistic","logistic",22,0,6,1,0.05,0,0,0,0
"logistic","logistic",23,0,6,1,0.05,0,0,0,0
"logistic","logistic",24,0,6,1,0.05,0,0,0,0
"logistic","logistic",25,0,6,1,0.05,0,0,0,0
"logistic","logistic",26,0,6,1,0.05,0,0,0,0
"logistic","logistic",27,0,6,1,0.05,0,0,0,0
"logistic","logistic",28,0,6,1,0.05,0,0,0,0
"logistic","logistic",29,0,6,1,0.05,0,0,0,0
"logistic","logistic",30,0,6,1,0.05,0,0,0,0
"logistic","logistic",31,0,6,1,0.05,0,0,0,0
"logistic","logistic",32,0,6,1,0.05,0,0,0,0
"logistic","logistic",33,0,6,1,0.05,0,0,0,0
"logistic","logistic",34,0,6,1,0.05,0,0,0,0
"logistic","logistic",35,0,6,1,0.05,0,0,0,0
"logistic","logistic",36,0,6,1,0.05,0,0,0,0
"logistic","logistic",37,0,6,1,0.05,0,0,0,0
"logistic","logistic",38,0,6,1,0.05,0,0,0,0
"logistic","logistic",39,0,6,1,0.05,0,0,0,0
"logistic","logistic",40,0,6,1,0.05,0,0,0,0
"logistic","logistic",41,0,6,1,0.05,0,0,0,0
"logistic","logistic",42,0,6,1,0.05,0,0,0,0
"logistic","logistic",43,0,6,1,0.05,0,0,0,0
"logistic","logistic",44,0,6,1,0.05,0,0,0,0
"logistic","logistic",45,0,6,1,0.05,0,0,0,0
"logistic","logistic",46,0,6,1,0.05,0,0,0,0
"logistic","logistic",47,0,6,1,0.05,0,0,0,0
"logistic","logistic",48,0,6,1,0.05,0,0,0,0
"logistic","logistic",49,0,6,1,0.05,0,0,0,0
"logistic","logistic",50,0,6,1,0.05,0,0,0,0
"logistic","logistic",51,0,6,1,0.05,0,0,0,0
"logistic","logistic",52,0,6,1,0.05,0,0,0,0
"logistic","logistic",53,0,6,1,0.05,0,0,0,0
"logistic","logistic",54,0,6,1,0.05,0,0,0,0
"logistic","logistic",55,0,6,1,0.05,0,0,0,0
"logistic","logistic",56,0,6,1,0.05,0,0,0,0
"logistic","logistic",57,0,6,1,0.05,0,0,0,0
"logistic","logistic",58,0,6,1,0.05,0,0,0,0
"logistic","logistic",59,0,6,1,0.05,0,0,0,0
"logistic","logistic",60,0,6,1,0.05,0,0,0,0
"logistic","logistic",61,0,6,1,0.05,0,0,0,0
"logistic","logistic",62,0,6,1,0.05,0,0,0,0
"logistic","logistic",63,0,6,1,0.05,0,0,0,0
"logistic","logistic",64,0,6,1,0.05,0,0,0,0
"logistic","logistic",65,0,6,1,0.05,0,0,0,0
"logistic","logistic",66,0,6,1,0.05,0,0,0,0
"logistic","logistic",67,0,6,1,0.05,0,0,0,0
"logistic","logistic",68,0,6,1,0.05,0,0,0,0
"logistic","logistic",69,0,6,1,0.05,0,0,0,0
"logistic","logistic",70,0,6,1,0.05,0,0,0,0
"logistic","logistic",71,0,6,1,0.05,0,0,0,0
"logistic","logistic",72,0,6,1,0.05,0,0,0,0
"logistic","logistic",73,0,6,1,0.05,0,0,0,0
"logistic","logistic",74,0,6,1,0.05,0,0,0,0
"logistic","logistic",75,0,6,1,0.05,0,0,0,0
"logistic","logistic",76,0,6,1,0.05,0,0,0,0
