parameter,param_id,grid_id,tau,relative_day,mean,median,sd,q5,q95
delay_hosp,1,1,0,0,5.192387422033334,5.1767199,0.2776762445854549,4.76502652,5.660319095
p_hosp,2,1,0,0,0.33477251458133334,0.3381058,0.05904999532266615,0.23343223949999997,0.42593588
p_ETU,3,1,0,0,0.06318080118628416,0.0522737135,0.05002691937223719,0.004594146305,0.16048581250000007
latent_IPC,4,1,0,0,0.0613006569102015,0.050961363999999995,0.04715889286696069,0.005420556065,0.15084798400000005
p_unsafe_funeral_comm,5,1,0,0,0.882885420755,0.8971524399999999,0.0825161348140655,0.7268278275,0.987907942
p_unsafe_funeral_hosp,6,1,0,0,0.028933568611833334,0.028789393,0.004351487613158978,0.022028811099999997,0.0361735025
delay_hosp,1,2,0.010101010101010102,3.6060606060606064,5.183291707316667,5.168324699999999,0.271715738848925,4.76437071,5.643575295000001
p_hosp,2,2,0.010101010101010102,3.6060606060606064,0.33576148272533335,0.339006605,0.05855329054074537,0.2357519065,0.426308261
p_ETU,3,2,0.010101010101010102,3.6060606060606064,0.06377005585423183,0.0527201145,0.04989288891494068,0.005269031469999999,0.16142682750000004
latent_IPC,4,2,0.010101010101010102,3.6060606060606064,0.06175954320459,0.0513594555,0.04713788428374632,0.0058905317700000005,0.15111534650000003
p_unsafe_funeral_comm,5,2,0.010101010101010102,3.6060606060606064,0.8800364941683333,0.8944862149999999,0.08215967210588648,0.7246773795,0.9847535599999999
p_unsafe_funeral_hosp,6,2,0.010101010101010102,3.6060606060606064,0.028874728769333332,0.028720245499999998,0.004334223319188879,0.021998449849999997,0.0360562355
delay_hosp,1,3,0.020202020202020204,7.212121212121213,5.173964190766666,5.1607482000000005,0.26581027735174073,4.7626328550000006,5.6242724950000005
p_hosp,2,3,0.020202020202020204,7.212121212121213,0.33678670915316666,0.33990599499999996,0.05806625112804499,0.23689102850000002,0.4267204395
p_ETU,3,3,0.020202020202020204,7.212121212121213,0.06438391810608,0.0531246885,0.0497804289460739,0.005839722449999999,0.161655364
