nom,date,national_cumulative_confirmed_cases
DRC,2026-05-14,8
DRC,2026-05-17,13
DRC,2026-05-18,33
DRC,2026-05-19,51
DRC,2026-05-20,64
DRC,2026-05-21,83
DRC,2026-05-22,91
DRC,2026-05-23,101
DRC,2026-05-24,105
DRC,2026-05-25,106
DRC,2026-05-26,121
DRC,2026-05-27,125
DRC,2026-05-28,210
DRC,2026-05-29,263
DRC,2026-05-30,282
DRC,2026-05-31,321
DRC,2026-06-01,344
DRC,2026-06-02,363
DRC,2026-06-03,381
DRC,2026-06-04,452
DRC,2026-06-05,488
DRC,2026-06-06,515
DRC,2026-06-07,550
DRC,2026-06-08,598
DRC,2026-06-09,635
DRC,2026-06-10,676
DRC,2026-06-11,689
DRC,2026-06-13,782
DRC,2026-06-14,808
DRC,2026-06-15,837
