"analysis","scenario_key","scenario_label","r0_factor","hcw_factor","arm","efficacy","particle_id","n_reps","baseline_hcw_deaths","pep_hcw_deaths","hcw_deaths_averted","baseline_hcw_days_lost","pep_hcw_days_lost","hcw_days_lost_averted","pct_hcw_deaths_averted","pct_days_lost_averted"
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,1,10,112.6,19.5,93.1,48151.6500273861,8946.41358493796,39205.2364424481,82.6820603907638,81.4203384933856
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,2,10,26.9,4.4,22.5,7544.35050562869,1328.62510295657,6215.72540267212,83.6431226765799,82.3891387076288
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,3,10,88.8,18.4,70.4,46335.3696612797,8460.66391183573,37874.705749444,79.2792792792793,81.7403767927508
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,4,10,80,19,61,40605.5407525446,8962.9615462582,31642.5792062864,76.25,77.926752408299
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,5,10,42.2,8.2,34,18430.6501917,3676.70153311369,14753.9486585863,80.5687203791469,80.0511566609329
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,6,10,97.2,21,76.2,40395.083617619,8167.9997501259,32227.0838674931,78.3950617283951,79.7797181769831
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,7,10,33,7.2,25.8,9623.08160526789,2212.25109966915,7410.83050559874,78.1818181818182,77.0109909651176
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,8,10,40.7,7.7,33,21072.1656047143,4233.63676673587,16838.5288379785,81.0810810810811,79.9088672414917
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,9,10,36.4,6.1,30.3,15210.2980224165,2832.07272470791,12378.2252977086,83.2417582417582,81.3805573004942
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,10,10,118.8,25.4,93.4,62150.9616337687,12655.4649095178,49495.4967242509,78.6195286195286,79.6375396665759
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,11,10,72.5,13.9,58.6,33476.7239840363,6968.0245237464,26508.6994602899,80.8275862068966,79.1854647214908
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,12,10,28.3,5,23.3,9665.08508929976,1793.30412548791,7871.78096381185,82.3321554770318,81.4455422904317
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,13,10,65.1,12.9,52.2,28174.9762137248,5417.62239838095,22757.3538153439,80.184331797235,80.771510303026
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,14,10,95.7,20.3,75.4,56149.858913769,11546.3612979366,44603.4976158324,78.7878787878788,79.4365266070059
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,15,10,24,4.7,19.3,6645.01178677014,1255.62464814987,5389.38713862028,80.4166666666667,81.1042525063726
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,16,10,85.7,16.7,69,54264.1679778924,10474.7409354522,43789.4270424402,80.5134189031505,80.6967630283769
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,17,10,48.2,9.8,38.4,19852.4246174737,4305.34926440291,15547.0753530708,79.6680497925311,78.3132320239945
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,18,10,111.8,23.8,88,48507.5819878977,9955.3479141631,38552.2340737346,78.7119856887299,79.4767178527949
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,19,10,68.3,12.6,55.7,38575.5954033421,7511.14238639838,31064.4530169437,81.5519765739385,80.5287713439995
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,20,10,57.8,11,46.8,24679.9834145174,4757.28569958767,19922.6977149298,80.9688581314879,80.7241130608325
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,21,10,39.9,7.6,32.3,22097.9907475589,4474.83505668223,17623.1556908767,80.9523809523809,79.7500365177927
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,22,10,54,11.1,42.9,27770.1552216315,5592.64347531096,22177.5117463205,79.4444444444444,79.8609570934102
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,23,10,113,21,92,58948.7920655321,11188.748445141,47760.0436203911,81.4159292035398,81.019545858204
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,24,10,90.3,17.4,72.9,48400.507945878,10211.9944322294,38188.5135136486,80.7308970099668,78.9010593780368
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,25,10,51.7,12.7,39,21496.3724412746,4727.65682114143,16768.7156201332,75.4352030947776,78.0071877985145
"hcw_exposure","hcw_exposure_125","HCW exposure +25%",1,1.25,"full_obv80",0.8,26,10,39.2,8.1,31.1,11447.2003525594,2632.80524181363,8814.39511074577,79.3367346938775,77.0004441197276
