"scenario","policy","dpc","efficacy_scale","intrinsic_efficacy","doses_per_death_med","doses_per_death_lo","doses_per_death_hi"
"DRC","A",0,0.2,0.2,439.496052855764,324.855394308733,636.839166700589
"DRC","A",0,0.3,0.3,292.997368570509,216.570262872489,424.559444467059
"DRC","A",0,0.4,0.4,219.748026427882,162.427697154367,318.419583350294
"DRC","A",0,0.5,0.5,175.798421142305,129.942157723493,254.735666680236
"DRC","A",0,0.6,0.6,146.498684285255,108.285131436244,212.27972223353
"DRC","A",0,0.7,0.7,125.570300815932,92.8158269453523,181.95404762874
"DRC","A",0,0.8,0.8,109.874013213941,81.2138485771833,159.209791675147
"DRC","A",0,0.9,0.9,97.665789523503,72.1900876241629,141.519814822353
"DRC","A",5,0.2,0.2,678.873108438347,501.791972633965,983.701632504083
"DRC","A",5,0.3,0.3,452.582072292232,334.527981755976,655.801088336056
"DRC","A",5,0.4,0.4,339.436554219174,250.895986316982,491.850816252042
"DRC","A",5,0.5,0.5,271.549243375339,200.716789053586,393.480653001633
"DRC","A",5,0.6,0.6,226.291036146116,167.263990877988,327.900544168028
"DRC","A",5,0.7,0.7,193.963745268099,143.369135038276,281.057609286881
"DRC","A",5,0.8,0.8,169.718277109587,125.447993158491,245.925408126021
"DRC","A",5,0.9,0.9,150.860690764077,111.509327251992,218.600362778685
"DRC","B",0,0.2,0.2,175.826136053409,172.835667086112,178.891866496906
"DRC","B",0,0.3,0.3,117.217424035606,115.223778057408,119.261244331271
"DRC","B",0,0.4,0.4,87.9130680267044,86.4178335430562,89.445933248453
"DRC","B",0,0.5,0.5,70.3304544213635,69.1342668344449,71.5567465987624
"DRC","B",0,0.6,0.6,58.6087120178029,57.6118890287041,59.6306221656353
"DRC","B",0,0.7,0.7,50.2360388724025,49.3816191674607,51.1119618562588
"DRC","B",0,0.8,0.8,43.9565340133522,43.2089167715281,44.7229666242265
"DRC","B",0,0.9,0.9,39.0724746785353,38.4079260191361,39.7537481104235
"DRC","B",5,0.2,0.2,271.592053561525,266.972788040651,276.327572668665
"DRC","B",5,0.3,0.3,181.061369041017,177.981858693767,184.21838177911
"DRC","B",5,0.4,0.4,135.796026780763,133.486394020325,138.163786334332
"DRC","B",5,0.5,0.5,108.63682142461,106.78911521626,110.531029067466
"DRC","B",5,0.6,0.6,90.5306845205083,88.9909293468836,92.109190889555
"DRC","B",5,0.7,0.7,77.5977295890072,76.277939440186,78.95073504819
"DRC","B",5,0.8,0.8,67.8980133903813,66.7431970101627,69.0818931671662
"DRC","B",5,0.9,0.9,60.3537896803389,59.3272862312557,61.4061272597033
