"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi"
"DRC","A",0,20,0,0,0
"DRC","A",0,40,0.823423366503537,0,0.823423366503537
"DRC","A",0,60,0.823423366503537,0.823423366503537,1.64684673300707
"DRC","A",0,80,0.823423366503537,0.823423366503537,1.64684673300707
"DRC","A",0,100,0.823423366503537,0.823423366503537,1.64684673300707
"DRC","A",0,120,1.64684673300707,0.823423366503537,1.64684673300707
"DRC","A",0,140,1.64684673300707,0.823423366503537,2.47027009951061
"DRC","A",0,160,1.64684673300707,0.823423366503537,2.47027009951061
"DRC","A",0,180,1.64684673300707,1.64684673300707,2.47027009951061
"DRC","A",0,200,2.47027009951061,1.64684673300707,3.29369346601415
"DRC","A",0,220,2.47027009951061,1.64684673300707,3.29369346601415
"DRC","A",0,240,2.47027009951061,1.64684673300707,3.29369346601415
"DRC","A",0,260,2.47027009951061,1.64684673300707,3.29369346601415
"DRC","A",0,280,3.29369346601415,1.64684673300707,4.11711683251769
"DRC","A",0,300,3.29369346601415,2.47027009951061,4.11711683251769
"DRC","A",0,320,3.29369346601415,2.47027009951061,4.11711683251769
"DRC","A",0,340,3.29369346601415,2.47027009951061,4.94054019902122
"DRC","A",0,360,3.29369346601415,2.47027009951061,4.94054019902122
"DRC","A",0,380,4.11711683251769,2.47027009951061,4.94054019902122
"DRC","A",0,400,4.11711683251769,2.47027009951061,4.94054019902122
"DRC","A",0,420,4.11711683251769,3.29369346601415,5.76396356552476
"DRC","A",0,440,4.11711683251769,3.29369346601415,5.76396356552476
"DRC","A",0,460,4.94054019902122,3.29369346601415,5.76396356552476
"DRC","A",0,480,4.94054019902122,3.29369346601415,5.76396356552476
"DRC","A",0,500,4.94054019902122,3.29369346601415,6.5873869320283
"DRC","A",0,520,4.94054019902122,3.29369346601415,6.5873869320283
"DRC","A",0,540,4.94054019902122,3.29369346601415,6.5873869320283
"DRC","A",0,560,5.76396356552476,3.29369346601415,7.41081029853183
"DRC","A",0,580,5.76396356552476,4.11711683251769,7.41081029853183
"DRC","A",0,600,5.76396356552476,4.11711683251769,7.41081029853183
"DRC","A",0,620,5.76396356552476,4.11711683251769,8.23423366503537
"DRC","A",0,640,5.76396356552476,4.11711683251769,8.23423366503537
"DRC","A",0,660,6.5873869320283,4.11711683251769,8.23423366503537
"DRC","A",0,680,6.5873869320283,4.11711683251769,8.23423366503537
"DRC","A",0,700,6.5873869320283,4.11711683251769,9.05765703153891
"DRC","A",0,720,6.5873869320283,4.11711683251769,9.05765703153891
"DRC","A",0,740,6.5873869320283,4.11711683251769,9.05765703153891
"DRC","A",0,760,7.41081029853183,4.94054019902122,9.05765703153891
"DRC","A",0,780,7.41081029853183,4.94054019902122,9.88108039804245
"DRC","A",0,800,7.41081029853183,4.94054019902122,9.88108039804245
"DRC","A",0,820,7.41081029853183,4.94054019902122,9.88108039804245
"DRC","A",0,840,7.41081029853183,4.94054019902122,9.88108039804245
"DRC","A",0,860,8.23423366503537,4.94054019902122,10.704503764546
"DRC","A",0,880,8.23423366503537,4.94054019902122,10.704503764546
"DRC","A",0,900,8.23423366503537,4.94054019902122,10.704503764546
"DRC","A",0,920,8.23423366503537,4.94054019902122,10.704503764546
"DRC","A",0,940,8.23423366503537,4.94054019902122,11.5279271310495
"DRC","A",0,960,8.23423366503537,5.76396356552476,11.5279271310495
"DRC","A",0,980,9.05765703153891,5.76396356552476,11.5279271310495
"DRC","A",0,1000,9.05765703153891,5.76396356552476,11.5279271310495
"DRC","A",0,1020,9.05765703153891,5.76396356552476,12.3513504975531
"DRC","A",0,1040,9.05765703153891,5.76396356552476,12.3513504975531
"DRC","A",0,1060,9.05765703153891,5.76396356552476,12.3513504975531
"DRC","A",0,1080,9.05765703153891,5.76396356552476,12.3513504975531
"DRC","A",0,1100,9.88108039804245,5.76396356552476,13.1747738640566
