"scenario","policy","dpc","efficacy_scale","intrinsic_efficacy","doses_per_death_med","doses_per_death_lo","doses_per_death_hi"
"WestAfrica","A",0,0.2,0.2,434.299215951867,340.147831892595,644.799794715965
"WestAfrica","A",0,0.3,0.3,289.532810634578,226.76522126173,429.866529810643
"WestAfrica","A",0,0.4,0.4,217.149607975933,170.073915946297,322.399897357982
"WestAfrica","A",0,0.5,0.5,173.719686380747,136.059132757038,257.919917886386
"WestAfrica","A",0,0.6,0.6,144.766405317289,113.382610630865,214.933264905321
"WestAfrica","A",0,0.7,0.7,124.085490271962,97.1850948264556,184.22851277599
"WestAfrica","A",0,0.8,0.8,108.574803987967,85.0369579731487,161.199948678991
"WestAfrica","A",0,0.9,0.9,96.5109368781926,75.5884070872433,143.288843270214
"WestAfrica","A",5,0.2,0.2,670.845748920392,525.413628780129,995.998116740526
"WestAfrica","A",5,0.3,0.3,447.230499280261,350.275752520086,663.998744493684
"WestAfrica","A",5,0.4,0.4,335.422874460196,262.706814390065,497.999058370263
"WestAfrica","A",5,0.5,0.5,268.338299568157,210.165451512052,398.39924669621
"WestAfrica","A",5,0.6,0.6,223.615249640131,175.137876260043,331.999372246842
"WestAfrica","A",5,0.7,0.7,191.670213977255,150.118179651466,284.570890497293
"WestAfrica","A",5,0.8,0.8,167.711437230098,131.353407195032,248.999529185132
"WestAfrica","A",5,0.9,0.9,149.076833093421,116.758584173362,221.332914831228
"WestAfrica","B",0,0.2,0.2,175.839031025496,174.018089265274,177.55804401439
"WestAfrica","B",0,0.3,0.3,117.226020683664,116.012059510182,118.372029342927
"WestAfrica","B",0,0.4,0.4,87.9195155127478,87.0090446326368,88.7790220071949
"WestAfrica","B",0,0.5,0.5,70.3356124101982,69.6072357061095,71.0232176057559
"WestAfrica","B",0,0.6,0.6,58.6130103418318,58.0060297550912,59.1860146714633
"WestAfrica","B",0,0.7,0.7,50.2397231501416,49.7194540757925,50.7308697183971
"WestAfrica","B",0,0.8,0.8,43.9597577563739,43.5045223163184,44.3895110035974
"WestAfrica","B",0,0.9,0.9,39.0753402278879,38.6706865033941,39.4573431143088
"WestAfrica","B",5,0.2,0.2,271.611971942423,268.799231338691,274.267266986903
"WestAfrica","B",5,0.3,0.3,181.074647961615,179.199487559128,182.844844657935
"WestAfrica","B",5,0.4,0.4,135.805985971211,134.399615669346,137.133633493451
"WestAfrica","B",5,0.5,0.5,108.644788776969,107.519692535477,109.706906794761
"WestAfrica","B",5,0.6,0.6,90.5373239808075,89.5997437795638,91.4224223289676
"WestAfrica","B",5,0.7,0.7,77.6034205549779,76.7997803824833,78.3620762819723
"WestAfrica","B",5,0.8,0.8,67.9029929856057,67.1998078346729,68.5668167467257
"WestAfrica","B",5,0.9,0.9,60.358215987205,59.7331625197092,60.9482815526451
