"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi"
"DRC","A",0,1000,8.8929723582382,6.31977433791465,11.0338731111474
"DRC","A",0,2000,14.903962933714,11.404413626074,18.3829266571915
"DRC","A",0,3000,19.7209896277597,15.2333322803154,24.2292325593666
"DRC","A",0,4000,23.8792776286026,18.1976563997282,29.5814844416396
"DRC","A",0,5000,27.7493674511692,20.709097667564,34.460267888173
"DRC","A",0,6000,30.8372050755575,22.2118453114329,38.3921144632274
"DRC","A",0,7000,33.3898175117184,24.2498181435292,41.1299971568517
"DRC","A",0,8000,35.2836912546766,25.8349081240485,44.7736455536298
"DRC","A",0,9000,37.6304478492116,27.5435116095433,48.2320236929447
"DRC","A",0,10000,39.812519770446,28.7992322434612,51.4227892381459
"DRC","A",0,11000,41.4593665034531,30.4460789764683,54.6753115358349
"DRC","A",0,12000,42.9826997314846,31.7635563628739,56.7750411204189
"DRC","A",0,13000,44.4236906228658,32.7722499868408,59.4511670615554
"DRC","A",0,14000,44.6707176328169,34.0691417890838,60.768644447961
"DRC","A",0,15000,45.8235103459218,35.1395921655384,61.9420227452286
"DRC","A",0,16000,47.2233300689779,36.312970462806,63.7535541515364
"DRC","A",0,17000,47.7997264255303,36.9511235718462,64.9886892012917
"DRC","A",0,18000,48.664320960359,37.0334659084966,66.2649954193722
"DRC","A",0,19000,49.0760326436108,37.8363036908375,67.3148602116642
"DRC","A",0,20000,49.1995461485863,38.4332856315526,67.7883286474037
"DRC","A",0,21000,49.1995461485863,38.6803126415037,67.7883286474037
"DRC","A",0,22000,49.4465731585374,38.8449973148044,67.870670984054
"DRC","A",0,23000,50.1876541883906,39.5037360080072,67.870670984054
"DRC","A",0,24000,50.3111676933661,39.6890062654705,67.9530133207044
"DRC","A",0,25000,50.8875640499186,39.6890062654705,68.0353556573548
"DRC","A",0,26000,51.21693339652,39.6890062654705,68.0353556573548
"DRC","A",0,27000,51.916843258048,39.6890062654705,68.0353556573548
"DRC","A",0,28000,52.3285549412998,39.6890062654705,68.0353556573548
"DRC","A",0,29000,52.4932396146005,39.7713486021208,68.0353556573548
"DRC","A",0,30000,52.6579242879012,39.7713486021208,68.0353556573548
"DRC","A",0,31000,52.6579242879012,39.8331053546086,68.0353556573548
"DRC","A",0,32000,52.6579242879012,39.8331053546086,68.0353556573548
"DRC","A",0,33000,52.7814377928767,39.8331053546086,68.0353556573548
"DRC","A",0,34000,52.9461224661774,39.8331053546086,68.0353556573548
"DRC","A",0,35000,53.1108071394781,39.8536909387712,68.0353556573548
"DRC","A",0,36000,53.1931494761285,39.8536909387712,68.0353556573548
"DRC","A",0,37000,53.316662981104,39.8536909387712,68.0353556573548
"DRC","A",0,38000,53.316662981104,39.8536909387712,68.1794547464929
"DRC","A",0,39000,53.316662981104,39.8536909387712,68.2000403306555
"DRC","A",0,40000,53.316662981104,39.8536909387712,68.2000403306555
"DRC","A",0,41000,53.316662981104,39.8536909387712,68.2000403306555
"DRC","A",0,42000,53.316662981104,39.8536909387712,68.2000403306555
"DRC","A",0,43000,53.316662981104,39.8536909387712,68.2000403306555
"DRC","A",0,44000,53.316662981104,39.8536909387712,68.2000403306555
"DRC","A",0,45000,53.316662981104,39.8536909387712,68.2000403306555
"DRC","A",0,46000,53.316662981104,39.8536909387712,68.2000403306555
"DRC","A",0,47000,53.316662981104,39.8536909387712,68.2000403306555
"DRC","A",0,48000,53.316662981104,39.8536909387712,68.2000403306555
"DRC","A",0,49000,53.316662981104,39.8536909387712,68.5705808455821
"DRC","A",0,50000,53.316662981104,39.8536909387712,68.5705808455821
"DRC","A",0,51000,53.316662981104,39.8536909387712,68.5705808455821
"DRC","A",0,52000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,53000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,54000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,55000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,56000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,57000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,58000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,59000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,60000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,61000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,62000,53.316662981104,39.8536909387712,68.8176078555331
"DRC","A",0,63000,53.316662981104,39.9772044437467,68.8176078555331
"DRC","A",0,64000,53.316662981104,40.0389611962345,68.8176078555331
"DRC","A",0,65000,53.316662981104,40.0389611962345,68.8176078555331
"DRC","A",0,66000,53.316662981104,40.0389611962345,68.8176078555331
"DRC","A",0,67000,53.316662981104,40.0389611962345,68.8176078555331
"DRC","A",0,68000,53.316662981104,40.0389611962345,68.8176078555331
"DRC","A",0,69000,53.316662981104,40.0389611962345,68.8176078555331
"DRC","A",0,70000,53.316662981104,40.0389611962345,68.8176078555331
"DRC","A",0,71000,53.316662981104,40.0389611962345,68.8176078555331
"DRC","A",0,72000,53.316662981104,40.0389611962345,68.8176078555331
"DRC","A",0,73000,53.316662981104,40.0389611962345,68.8176078555331
