"scenario","policy","dpc","supply_ratio","pct_averted_med","pct_averted_lo","pct_averted_hi"
"DRC","A",0,0,12.8943325725663,9.64076000374616,18.2396265118618
"DRC","A",0,0.05,12.8943325725663,9.64076000374616,18.2396265118618
"DRC","A",0,0.1,12.8943325725663,9.64076000374616,18.2396265118618
"DRC","A",0,0.15,12.8943325725663,9.64076000374616,18.2396265118618
"DRC","A",0,0.2,12.8943325725663,9.64076000374616,18.2396265118618
"DRC","A",0,0.25,12.8943325725663,9.75450783393803,18.2396265118618
"DRC","A",0,0.3,13.405133056144,9.99040833748474,18.2396265118618
"DRC","A",0,0.35,13.7053263638323,10.731228264896,18.2396265118618
"DRC","A",0,0.4,14.1296553652271,11.5462261318636,18.5227421175437
"DRC","A",0,0.45,14.8396624048316,12.2515087787044,19.5325634914288
"DRC","A",0,0.5,16.0126111804202,12.9706022093608,20.5352447418092
"DRC","A",0,0.55,17.0820765242296,13.5812353556018,21.6751360103648
"DRC","A",0,0.6,18.2337495142758,13.9238603988619,22.9857777503084
"DRC","A",0,0.65,19.4643553134678,14.6606006758153,24.4475209260238
"DRC","A",0,0.7,20.4030174147852,15.5055616074549,25.2532450989772
"DRC","A",0,0.75,21.414847287188,15.914224329825,26.7740424662515
"DRC","A",0,0.8,22.5289757171891,16.7675533400953,27.9169141073407
"DRC","A",0,0.85,23.6120827485098,17.5318882183882,29.2358554187541
"DRC","A",0,0.9,24.4552299026635,18.2569538701059,30.3153515030964
"DRC","A",0,0.95,25.3053485278106,19.024028266698,31.6269967817405
"DRC","A",0,1,26.2434558454244,19.7173063497495,32.6979426533673
"DRC","A",0,1.05,27.2616273200867,20.6349383428478,33.5076848972347
"DRC","A",0,1.1,28.2650434272041,21.4385497588764,34.4542703249359
"DRC","A",0,1.15,29.1812720909662,22.3662842772659,35.4500233951621
"DRC","A",0,1.2,30.1552556091433,23.1248119403928,36.7064773443702
"DRC","A",0,1.25,30.9903314611907,23.7495149284348,37.7418186325368
"DRC","A",0,1.3,31.8254073132382,24.47041443607,38.5546846771147
"DRC","A",0,1.35,32.6604831652856,25.2097873989647,39.2761655283011
"DRC","A",0,1.4,33.4637851493912,25.9557618408481,40.0421129884391
"DRC","A",0,1.45,34.3199027030237,26.5940062922187,40.8715682624737
"DRC","A",0,1.5,35.1639033429621,27.3073557172654,41.7320201960011
"DRC","A",0,1.55,35.9368875571764,28.0581491768887,42.9657082247666
"DRC","A",0,1.6,36.6294521315806,28.5961176682224,44.1993962535321
"DRC","A",0,1.65,37.3107088251876,29.3104730781354,44.9599133180201
"DRC","A",0,1.7,37.9640459111616,29.9420281509543,45.9239000541714
"DRC","A",0,1.75,38.6194596715845,30.4904475052626,47.0152303827484
"DRC","A",0,1.8,39.2554459062924,31.0759419938841,48.0525261716163
"DRC","A",0,1.85,40.0102525099179,31.7572766762526,48.8119777949658
"DRC","A",0,1.9,40.6259029783273,32.3383706524213,49.5858240670892
"DRC","A",0,1.95,41.3337027242494,33.0262499290241,50.6179972263217
"DRC","A",0,2,41.8696542375612,33.6398726305409,51.5701338933529
"DRC","A",0,2.05,42.5841648159356,34.2216397132179,52.0556421810407
"DRC","A",0,2.1,43.2926771763071,34.8034067958948,53.0665345488201
"DRC","A",0,2.15,43.9034324673451,35.3851738785717,53.9051956979988
"DRC","A",0,2.2,44.7102392667767,35.9669409612487,54.5416450910806
"DRC","A",0,2.25,45.5170460662083,36.5487080439256,55.1310937668942
"DRC","A",0,2.3,46.2894542418873,37.1304751266026,55.8016027585626
"DRC","A",0,2.35,46.8265413150411,37.7122422092795,56.4953679386751
"DRC","A",0,2.4,47.2580346776508,38.2407274286304,57.2985557195913
"DRC","A",0,2.45,47.7487185695007,38.800022392223,58.0770609373556
"DRC","A",0,2.5,48.1679758076912,39.3593173558156,58.8132247565646
"DRC","A",0,2.55,48.6548044745666,39.9186123194081,59.541562028783
"DRC","A",0,2.6,49.3256121368181,40.4377891036235,60.4258124955047
"DRC","A",0,2.65,49.9206857638304,40.8926765825991,60.970997260066
"DRC","A",0,2.7,50.4903488466866,41.3845374883099,61.4789222111279
"DRC","A",0,2.75,51.1112910051401,42.0240497737403,61.9034191875843
"DRC","A",0,2.8,51.8055131733941,42.691395658054,62.3279161640407
"DRC","A",0,2.85,52.4574395559233,43.2064187649353,62.7859612159272
"DRC","A",0,2.9,53.101108541413,43.6036534826216,63.4788763197074
"DRC","A",0,2.95,53.6289203353358,43.9980862735746,64.0686016285397
"DRC","A",0,3,54.0905673965263,44.3979492878982,64.6740607926441
"DRC","A",0,3.05,54.5977702224676,44.8934925650236,65.2966820427369
"DRC","A",0,3.1,55.1074485105701,45.384608981878,66.1034719573451
"DRC","A",0,3.15,55.574410930043,45.8404554084555,66.9102618719534
"DRC","A",0,3.2,55.8958068026777,46.2963018350329,67.6311034378056
"DRC","A",0,3.25,56.3044225580707,46.7415646214012,68.0502872616405
"DRC","A",0,3.3,56.9069225548641,47.1996286751859,68.3639491536177
"DRC","A",0,3.35,57.4128974970771,47.6612376649491,68.7814973224974
"DRC","A",0,3.4,57.8149706092124,48.1485793279625,69.4648925170332
"DRC","A",0,3.45,58.1203201419856,48.6556549153874,70.0629503000234
"DRC","A",0,3.5,58.4569335662296,49.1092887794425,70.5014972754521
"DRC","A",5,0,8.34766939419435,6.24133717407507,11.8081623176485
"DRC","A",5,0.05,8.34766939419435,6.24133717407507,11.8081623176485
"DRC","A",5,0.1,8.34766939419435,6.24133717407507,11.8081623176485
"DRC","A",5,0.15,8.34766939419435,6.24133717407507,11.8081623176485
"DRC","A",5,0.2,8.34766939419435,6.24133717407507,11.8081623176485
"DRC","A",5,0.25,8.34766939419435,6.31497644740736,11.8081623176485
"DRC","A",5,0.3,8.67835681359391,6.46769621033031,11.8081623176485
"DRC","A",5,0.35,8.87269913203723,6.9472960500163,11.8081623176485
"DRC","A",5,0.4,9.14740572875929,7.4749179887348,11.9914486927493
"DRC","A",5,0.45,9.6070575952529,7.93151132787479,12.6451975338734
"DRC","A",5,0.5,10.3664135789639,8.39704563830725,13.2943239263274
"DRC","A",5,0.55,11.0587753641457,8.79236378271448,14.0322787915119
"DRC","A",5,0.6,11.8043576047949,9.01417600689986,14.8807759027588
"DRC","A",5,0.65,12.6010402022399,9.49113471932511,15.8270946595787
"DRC","A",5,0.7,13.2087212008926,10.0381544637472,16.3487128961856
"DRC","A",5,0.75,13.8637703250295,10.3027188590641,17.3332627801072
"DRC","A",5,0.8,14.5850465713169,10.8551560187328,18.0731471103836
"DRC","A",5,0.85,15.2862398564373,11.3499792160199,18.9270172859869
"DRC","A",5,0.9,15.8320853784076,11.8193798860866,19.6258728780622
"DRC","A",5,0.95,16.3824441650014,12.3159766217041,20.4750196708068
"DRC","A",5,1,16.9897660019125,12.7647983193751,21.1683399357453
"DRC","A",5,1.05,17.6489206195904,13.3588646241498,21.6925594335966
"DRC","A",5,1.1,18.2985227513709,13.8791150818338,22.3053699190826
"DRC","A",5,1.15,18.891680553958,14.4797216662781,22.9500110729944
"DRC","A",5,1.2,19.5222283050246,14.9707853271926,23.7634275191728
