"scenario","arm","particle_id","cum_hcw_deaths"
"DRC","baseline",1,42.7
"DRC","baseline",2,33.2
"DRC","baseline",3,73.9
"DRC","baseline",4,135.1
"DRC","baseline",5,53
"DRC","baseline",6,77.7
"DRC","baseline",7,74.8
"DRC","baseline",8,62.7
"DRC","baseline",9,66.8
"DRC","baseline",10,57.5
"DRC","baseline",11,32.2
"DRC","baseline",12,34.2
"DRC","baseline",13,60.3
"DRC","baseline",14,67.3
"DRC","baseline",15,49.8
"DRC","baseline",16,69.7
"DRC","baseline",17,71.3
"DRC","baseline",18,86.8
"DRC","baseline",19,60.8
"DRC","baseline",20,83.6
"DRC","baseline",21,98.5
"DRC","baseline",22,66.6
"DRC","baseline",23,84.7
"DRC","baseline",24,38.9
"DRC","baseline",25,80.6
"DRC","baseline",26,83.1
"DRC","baseline",27,103.3
"DRC","baseline",28,24.1
"DRC","baseline",29,76.2
"DRC","baseline",30,57.3
"DRC","baseline",31,109.5
"DRC","baseline",32,31.1
"DRC","baseline",33,115.3
"DRC","baseline",34,54.7
"DRC","baseline",35,49
"DRC","baseline",36,53.9
"DRC","baseline",37,50
"DRC","baseline",38,41.6
"DRC","baseline",39,76.2
"DRC","baseline",40,62.9
"DRC","baseline",41,62.2
"DRC","baseline",42,46.5
"DRC","baseline",43,97.7
"DRC","baseline",44,97.5
"DRC","baseline",45,110.1
"DRC","baseline",46,134.9
"DRC","baseline",47,113.6
"DRC","baseline",48,46.5
"DRC","baseline",49,59.2
"DRC","baseline",50,87.9
"DRC","baseline",51,68.6
"DRC","baseline",52,59.4
"DRC","baseline",53,61.8
"DRC","baseline",54,30.8
"DRC","baseline",55,90.2
"DRC","baseline",56,34.1
"DRC","baseline",57,60.4
"DRC","baseline",58,67.5
"DRC","baseline",59,51.6
"DRC","baseline",60,51.8
"DRC","baseline",61,55.6
"DRC","baseline",62,74.3
"DRC","baseline",63,86.4
"DRC","baseline",64,104.1
"DRC","baseline",65,71.7
"DRC","baseline",66,43
"DRC","baseline",67,47.1
"DRC","baseline",68,85.5
"DRC","baseline",69,73.9
"DRC","baseline",70,46.9
"DRC","baseline",71,54.9
"DRC","baseline",72,100.5
"DRC","baseline",73,35.1
"DRC","baseline",74,56
"DRC","baseline",75,70.6
"DRC","baseline",76,91.6
"DRC","baseline",77,52.8
"DRC","baseline",78,117.7
"DRC","baseline",79,98
"DRC","baseline",80,69.1
"DRC","baseline",81,69.1
"DRC","baseline",82,49.7
"DRC","baseline",83,90.8
"DRC","baseline",84,72.8
"DRC","baseline",85,21.9
"DRC","baseline",86,17.3
"DRC","baseline",87,31.1
"DRC","baseline",88,69.4
"DRC","baseline",89,61.1
"DRC","baseline",90,53.6
"DRC","baseline",91,25.6
"DRC","baseline",92,38.9
"DRC","baseline",93,51.5
"DRC","baseline",94,56.8
"DRC","baseline",95,104.1
"DRC","baseline",96,95.9
"DRC","baseline",97,55.3
"DRC","baseline",98,54.6
"DRC","baseline",99,76.3
"DRC","baseline",100,36.4
"DRC","baseline",101,66.4
"DRC","baseline",102,84.2
"DRC","baseline",103,43.6
"DRC","baseline",104,52.2
"DRC","baseline",105,109.6
"DRC","baseline",106,90
"DRC","baseline",107,18.3
"DRC","baseline",108,36.5
"DRC","baseline",109,66.4
"DRC","baseline",110,31.9
"DRC","baseline",111,93.4
"DRC","baseline",112,65.5
"DRC","baseline",113,27.5
"DRC","baseline",114,59.8
"DRC","baseline",115,123.5
"DRC","baseline",116,18.3
"DRC","baseline",117,18
"DRC","baseline",118,34.9
"DRC","baseline",119,19
"DRC","baseline",120,97.8
"DRC","baseline",121,36.6
"DRC","baseline",122,41.2
"DRC","baseline",123,54
"DRC","baseline",124,21
"DRC","baseline",125,95.2
"DRC","baseline",126,102.2
"DRC","baseline",127,66.1
"DRC","baseline",128,36
"DRC","baseline",129,75.5
"DRC","baseline",130,48.8
"DRC","baseline",131,24.5
"DRC","baseline",132,73.6
"DRC","baseline",133,124.7
"DRC","baseline",134,91.4
"DRC","baseline",135,83.8
"DRC","baseline",136,61
"DRC","baseline",137,81.9
"DRC","baseline",138,116.3
"DRC","baseline",139,111.3
"DRC","baseline",140,37.6
"DRC","baseline",141,108
"DRC","baseline",142,67
"DRC","baseline",143,52.7
"DRC","baseline",144,83.2
"DRC","baseline",145,34.7
"DRC","baseline",146,85.2
"DRC","baseline",147,76.4
"DRC","baseline",148,95.8
"DRC","baseline",149,27.2
"DRC","baseline",150,35.5
"DRC","baseline",151,52.4
"DRC","baseline",152,62.2
"DRC","baseline",153,53.2
"DRC","baseline",154,68.4
"DRC","baseline",155,122.3
"DRC","baseline",156,56.6
"DRC","baseline",157,78.1
"DRC","baseline",158,77.1
"DRC","baseline",159,78.4
"DRC","baseline",160,45.9
"DRC","baseline",161,69.1
"DRC","baseline",162,72.3
"DRC","baseline",163,55.6
"DRC","baseline",164,43.2
"DRC","baseline",165,112.5
"DRC","baseline",166,9.4
"DRC","baseline",167,58.3
"DRC","baseline",168,47.9
"DRC","baseline",169,27.5
"DRC","baseline",170,56.1
"DRC","baseline",171,29.2
"DRC","baseline",172,59.4
"DRC","baseline",173,70.3
"DRC","baseline",174,48.6
"DRC","baseline",175,39.6
"DRC","baseline",176,62.1
"DRC","baseline",177,75.6
"DRC","baseline",178,132.1
"DRC","baseline",179,133.9
"DRC","baseline",180,20.5
"DRC","baseline",181,67.5
"DRC","baseline",182,46.1
"DRC","baseline",183,74.4
"DRC","baseline",184,105.8
"DRC","baseline",185,39.4
"DRC","baseline",186,36.8
"DRC","baseline",187,40.2
"DRC","baseline",188,52.6
"DRC","baseline",189,34.2
"DRC","baseline",190,50.1
"DRC","baseline",191,74.7
"DRC","baseline",192,46.4
"DRC","baseline",193,56.5
"DRC","baseline",194,44.1
"DRC","baseline",195,61.7
"DRC","baseline",196,37.5
"DRC","baseline",197,37.7
"DRC","baseline",198,71.1
"DRC","baseline",199,100.4
"DRC","baseline",200,156
"DRC","obv",1,9.1
"DRC","obv",2,8.2
"DRC","obv",3,14.2
"DRC","obv",4,26.4
"DRC","obv",5,10.5
"DRC","obv",6,17.3
"DRC","obv",7,15.2
"DRC","obv",8,13.2
"DRC","obv",9,10.6
"DRC","obv",10,11.7
"DRC","obv",11,6.9
"DRC","obv",12,8.3
"DRC","obv",13,11.1
"DRC","obv",14,13.1
"DRC","obv",15,10.1
"DRC","obv",16,13.6
"DRC","obv",17,14.2
"DRC","obv",18,17.5
"DRC","obv",19,11.9
"DRC","obv",20,15.9
"DRC","obv",21,19.1
"DRC","obv",22,12.2
"DRC","obv",23,15.3
"DRC","obv",24,9.3
"DRC","obv",25,14.2
"DRC","obv",26,17
"DRC","obv",27,20.3
"DRC","obv",28,4
"DRC","obv",29,15.5
"DRC","obv",30,11.8
"DRC","obv",31,21.6
"DRC","obv",32,5.4
"DRC","obv",33,23.8
"DRC","obv",34,10.3
"DRC","obv",35,9.2
"DRC","obv",36,11.9
"DRC","obv",37,10.3
"DRC","obv",38,7.3
"DRC","obv",39,12.9
"DRC","obv",40,11.7
"DRC","obv",41,12.2
"DRC","obv",42,9.6
"DRC","obv",43,21
"DRC","obv",44,21
"DRC","obv",45,22.1
"DRC","obv",46,26.7
"DRC","obv",47,23.4
"DRC","obv",48,9.6
"DRC","obv",49,11.8
"DRC","obv",50,18.8
"DRC","obv",51,12.9
"DRC","obv",52,10.6
"DRC","obv",53,14.2
"DRC","obv",54,5.7
"DRC","obv",55,17.1
"DRC","obv",56,8.2
"DRC","obv",57,12
"DRC","obv",58,13.5
"DRC","obv",59,8.5
"DRC","obv",60,8.5
"DRC","obv",61,11.4
"DRC","obv",62,15.2
"DRC","obv",63,18.4
"DRC","obv",64,18.4
"DRC","obv",65,14.1
"DRC","obv",66,9.5
"DRC","obv",67,8.2
"DRC","obv",68,17.2
"DRC","obv",69,14.1
"DRC","obv",70,9.9
"DRC","obv",71,11.3
"DRC","obv",72,21.2
"DRC","obv",73,7.3
"DRC","obv",74,11.4
"DRC","obv",75,12.3
"DRC","obv",76,16.4
"DRC","obv",77,11.3
"DRC","obv",78,24.3
"DRC","obv",79,16.8
"DRC","obv",80,15.7
"DRC","obv",81,13.1
"DRC","obv",82,9.8
"DRC","obv",83,19
"DRC","obv",84,15.6
"DRC","obv",85,3.6
"DRC","obv",86,3
"DRC","obv",87,5.7
"DRC","obv",88,13.8
"DRC","obv",89,11.7
"DRC","obv",90,11.7
"DRC","obv",91,5.6
"DRC","obv",92,8.1
"DRC","obv",93,11.4
"DRC","obv",94,11.1
"DRC","obv",95,23.9
"DRC","obv",96,22
"DRC","obv",97,9.5
"DRC","obv",98,9.6
"DRC","obv",99,15.4
"DRC","obv",100,6.7
"DRC","obv",101,13.8
"DRC","obv",102,15.7
"DRC","obv",103,8.4
"DRC","obv",104,8.5
"DRC","obv",105,23.9
"DRC","obv",106,17.2
"DRC","obv",107,3.8
"DRC","obv",108,6.3
"DRC","obv",109,13.5
"DRC","obv",110,4.6
"DRC","obv",111,19.1
"DRC","obv",112,12.5
"DRC","obv",113,4
"DRC","obv",114,10.6
"DRC","obv",115,21.5
"DRC","obv",116,3.8
"DRC","obv",117,4.3
"DRC","obv",118,8.5
"DRC","obv",119,3.8
"DRC","obv",120,18.9
"DRC","obv",121,8.3
"DRC","obv",122,7.2
"DRC","obv",123,9.5
"DRC","obv",124,5.8
"DRC","obv",125,19.9
"DRC","obv",126,19.3
"DRC","obv",127,13.4
"DRC","obv",128,6.8
"DRC","obv",129,14.5
"DRC","obv",130,9.4
"DRC","obv",131,4.4
"DRC","obv",132,15.9
"DRC","obv",133,25.8
"DRC","obv",134,17.7
"DRC","obv",135,17.5
"DRC","obv",136,13
"DRC","obv",137,18.4
"DRC","obv",138,23.4
