"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","baseline",0.5,"deaths",0,0,0.1,0.1,0.3
"DRC","baseline",0.5,"hcw_deaths",0,0,0,0,0
"DRC","baseline",0.5,"hcw_deaths_incidence",0,0,0,0,0
"DRC","baseline",0.5,"infections",31.1875,32.7,33.8,35.1,37.8125
"DRC","baseline",1.5,"deaths",3.4,4.2,4.6,5,6.0125
"DRC","baseline",1.5,"hcw_deaths",0,0,0,0,0
"DRC","baseline",1.5,"hcw_deaths_incidence",0,0,0,0,0
"DRC","baseline",1.5,"infections",14.3875,18.2,21.35,23.825,29.375
"DRC","baseline",2.5,"deaths",9.9,11.3,12.1,12.8,14.0125
"DRC","baseline",2.5,"hcw_deaths",0,0,0,0,0.2
"DRC","baseline",2.5,"hcw_deaths_incidence",0,0,0,0,0.2
"DRC","baseline",2.5,"infections",20.3875,26.2,28.9,32.65,40.0375
"DRC","baseline",3.5,"deaths",9.775,12.275,13.15,14.5,17.2
"DRC","baseline",3.5,"hcw_deaths",0,0,0.1,0.1,0.4
"DRC","baseline",3.5,"hcw_deaths_incidence",0,0,0,0.1,0.3125
"DRC","baseline",3.5,"infections",22.775,30.175,33.45,38.425,48.375
"DRC","baseline",4.5,"deaths",11.2875,14.5,16.3,18.125,22.125
"DRC","baseline",4.5,"hcw_deaths",0,0.1,0.2,0.4,0.7125
"DRC","baseline",4.5,"hcw_deaths_incidence",0,0.1,0.15,0.3,0.5125
"DRC","baseline",4.5,"infections",25.7625,34.85,39.7,44.725,56.7625
"DRC","baseline",5.5,"deaths",12.775,17.275,19.4,22.4,27.925
"DRC","baseline",5.5,"hcw_deaths",0.1,0.4,0.6,0.9,1.625
"DRC","baseline",5.5,"hcw_deaths_incidence",0,0.2,0.3,0.5,1.0125
"DRC","baseline",5.5,"infections",29.35,40.625,46.05,51.425,68.5875
"DRC","baseline",6.5,"deaths",14.9,20.475,23.2,26.05,32.5625
"DRC","baseline",6.5,"hcw_deaths",0.4,0.9,1.2,1.6,2.8
"DRC","baseline",6.5,"hcw_deaths_incidence",0.1,0.4,0.6,0.8,1.4125
"DRC","baseline",6.5,"infections",32.325,46.775,53.3,58.45,81.275
"DRC","baseline",7.5,"deaths",17.0375,23.925,26.8,30.6,38.325
"DRC","baseline",7.5,"hcw_deaths",0.8,1.5,1.8,2.425,4.1
"DRC","baseline",7.5,"hcw_deaths_incidence",0.2,0.4,0.7,1,1.5
"DRC","baseline",7.5,"infections",37.75,54.5,62.4,69.5,97.15
"DRC","baseline",8.5,"deaths",18.9625,27.375,31.1,34.625,48.45
"DRC","baseline",8.5,"hcw_deaths",1.4,2.3,2.8,3.5,5.35
"DRC","baseline",8.5,"hcw_deaths_incidence",0.3,0.7,0.9,1.2,2
"DRC","baseline",8.5,"infections",44.2,62.375,73.5,84.55,120.65
"DRC","baseline",9.5,"deaths",22.075,32.375,36.75,40.725,57.975
"DRC","baseline",9.5,"hcw_deaths",1.9,3.2,3.9,4.8,6.9125
"DRC","baseline",9.5,"hcw_deaths_incidence",0.3,0.8,1.1,1.4,2.1
"DRC","baseline",9.5,"infections",50.4375,69.1,83.5,95.025,136.2125
