"scenario","arm","week","metric","n","q025","q25","q50","q75","q975","method","iqr_width","ci95_width"
"DRC","baseline",0.5,"deaths",200,0,0,0,0.1,0.3,"mean_first",0.1,0.3
"DRC","baseline",0.5,"hcw_deaths",200,0,0,0,0,0,"mean_first",0,0
"DRC","baseline",0.5,"hcw_deaths_incidence",200,0,0,0,0,0,"mean_first",0,0
"DRC","baseline",0.5,"infections",200,30.6925,32.5,33.75,35.1,38.005,"mean_first",2.6,7.3125
"DRC","baseline",1.5,"deaths",200,3.4,4.2,4.6,5.1,6.1,"mean_first",0.899999999999999,2.7
"DRC","baseline",1.5,"hcw_deaths",200,0,0,0,0,0,"mean_first",0,0
"DRC","baseline",1.5,"hcw_deaths_incidence",200,0,0,0,0,0,"mean_first",0,0
"DRC","baseline",1.5,"infections",200,14.3,18.875,21.1,23.55,28.91,"mean_first",4.675,14.61
"DRC","baseline",2.5,"deaths",200,9.5,11.1,11.9,12.7,14.4125,"mean_first",1.6,4.9125
"DRC","baseline",2.5,"hcw_deaths",200,0,0,0,0,0.102500000000001,"mean_first",0,0.102500000000001
"DRC","baseline",2.5,"hcw_deaths_incidence",200,0,0,0,0,0.1,"mean_first",0,0.1
"DRC","baseline",2.5,"infections",200,18.79,25.175,28.3,32,38.4275,"mean_first",6.825,19.6375
"DRC","baseline",3.5,"deaths",200,9.9875,12,13.3,14.7,17.405,"mean_first",2.7,7.4175
"DRC","baseline",3.5,"hcw_deaths",200,0,0,0.1,0.2,0.4,"mean_first",0.2,0.4
"DRC","baseline",3.5,"hcw_deaths_incidence",200,0,0,0,0.1,0.3,"mean_first",0.1,0.3
"DRC","baseline",3.5,"infections",200,22.085,28.65,33.45,38.525,48.6025,"mean_first",9.875,26.5175
"DRC","baseline",4.5,"deaths",200,11.1975,14,16.3,18,22.805,"mean_first",4,11.6075
"DRC","baseline",4.5,"hcw_deaths",200,0,0.1,0.2,0.4,0.7,"mean_first",0.3,0.7
"DRC","baseline",4.5,"hcw_deaths_incidence",200,0,0.1,0.2,0.3,0.6,"mean_first",0.2,0.6
"DRC","baseline",4.5,"infections",200,25.2975,34.1,38.85,44.4,55.325,"mean_first",10.3,30.0275
"DRC","baseline",5.5,"deaths",200,13.0875,16.975,19.2,21.8,27.005,"mean_first",4.825,13.9175
"DRC","baseline",5.5,"hcw_deaths",200,0.2,0.4,0.6,0.8,1.4,"mean_first",0.4,1.2
"DRC","baseline",5.5,"hcw_deaths_incidence",200,0,0.2,0.3,0.5,0.9,"mean_first",0.3,0.9
"DRC","baseline",5.5,"infections",200,27.8,39.25,46.55,52.65,66.6075,"mean_first",13.4,38.8075
"DRC","baseline",6.5,"deaths",200,14.685,20.1,23,25.7,32.6,"mean_first",5.6,17.915
"DRC","baseline",6.5,"hcw_deaths",200,0.4975,0.9,1.2,1.6,2.3025,"mean_first",0.7,1.805
"DRC","baseline",6.5,"hcw_deaths_incidence",200,0.1,0.4,0.5,0.8,1.2025,"mean_first",0.4,1.1025
"DRC","baseline",6.5,"infections",200,33.045,45.075,54.05,59.925,83.5,"mean_first",14.85,50.455
"DRC","baseline",7.5,"deaths",200,16.7925,22.975,26.55,30.8,38.1175,"mean_first",7.825,21.325
"DRC","baseline",7.5,"hcw_deaths",200,0.9,1.5,1.9,2.525,3.5,"mean_first",1.025,2.6
"DRC","baseline",7.5,"hcw_deaths_incidence",200,0.2,0.5,0.7,1,1.6025,"mean_first",0.5,1.4025
"DRC","baseline",7.5,"infections",200,37.9825,52.85,61.55,71.825,94.5,"mean_first",18.975,56.5175
"DRC","baseline",8.5,"deaths",200,18.4975,27,30.9,35.725,48.7125,"mean_first",8.725,30.215
"DRC","baseline",8.5,"hcw_deaths",200,1.4975,2.3,2.9,3.6,4.8125,"mean_first",1.3,3.315
"DRC","baseline",8.5,"hcw_deaths_incidence",200,0.3,0.6,0.9,1.2,1.9,"mean_first",0.6,1.6
"DRC","baseline",8.5,"infections",200,42.79,62.575,72.8,85.45,117.2175,"mean_first",22.875,74.4275
"DRC","baseline",9.5,"deaths",200,22.4,31.875,37.65,42.425,56.395,"mean_first",10.55,33.995
"DRC","baseline",9.5,"hcw_deaths",200,2,3.2,3.9,4.9,6.8025,"mean_first",1.7,4.8025
"DRC","baseline",9.5,"hcw_deaths_incidence",200,0.3,0.8,1,1.4,2.1025,"mean_first",0.6,1.8025
"DRC","baseline",9.5,"infections",200,48.99,71.175,85,97.825,133.3125,"mean_first",26.65,84.3225
"DRC","baseline",10.5,"deaths",200,25.395,36.775,43.35,49.5,68.6825,"mean_first",12.725,43.2875
