"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted","arm_label","scenario_label"
"DRC",1,"obv_50",26.9,151026.401035624,309,578,316231.908917853,53.4602076124567,52.2418842701746,"50%","DRC (Middle, PlusPlus)"
"DRC",1,"obv_60",34.3,173208.341019819,453,796,415060.857139587,56.9095477386935,58.269169920408,"60%","DRC (Middle, PlusPlus)"
"DRC",1,"obv_70",17.6,67470.3703015863,436,612,242879.516061862,71.2418300653595,72.2206419892563,"70%","DRC (Middle, PlusPlus)"
"DRC",1,"obv_80",9.4,49219.3336827625,348,442,226176.242565384,78.7330316742081,78.2385041308952,"80%","DRC (Middle, PlusPlus)"
"DRC",1,"obv_90",6.2,42156.1904656197,769,831,459949.614943766,92.5391095066185,90.8346068578025,"90%","DRC (Middle, PlusPlus)"
"DRC",2,"obv_50",34,157236.689245652,341,681,307396.491079061,50.0734214390602,48.8488991225306,"50%","DRC (Middle, PlusPlus)"
"DRC",2,"obv_60",16,57703.541507079,245,405,152175.197219891,60.4938271604938,62.0808498616904,"60%","DRC (Middle, PlusPlus)"
"DRC",2,"obv_70",13.5,52130.5668740442,310,445,170275.811921885,69.6629213483146,69.3846317420823,"70%","DRC (Middle, PlusPlus)"
"DRC",2,"obv_80",8.2,31097.8281500659,250,332,136997.236546118,75.3012048192771,77.300397486779,"80%","DRC (Middle, PlusPlus)"
"DRC",2,"obv_90",3.5,12934.5126119835,348,383,143400.863534275,90.8616187989556,90.980171044164,"90%","DRC (Middle, PlusPlus)"
"DRC",3,"obv_50",21,12392.8505661794,16,37,21877.3790531757,43.2432432432432,43.3531295679568,"50%","DRC (Middle, PlusPlus)"
"DRC",3,"obv_60",22,13663.1886722542,24,46,28993.8736573665,52.1739130434783,52.8756011227814,"60%","DRC (Middle, PlusPlus)"
"DRC",3,"obv_70",32,17863.8762195813,51,83,51914.8000411889,61.4457831325301,65.5900124715723,"70%","DRC (Middle, PlusPlus)"
"DRC",3,"obv_80",1,182.975441198873,2,3,395.520781184041,66.6666666666667,53.7380967313239,"80%","DRC (Middle, PlusPlus)"
"DRC",3,"obv_90",0,207.470570990541,5,5,908.226132110035,100,77.1565072116418,"90%","DRC (Middle, PlusPlus)"
"DRC",4,"obv_50",122,55110.1021707261,104,226,110177.405812435,46.0176991150442,49.9805774474804,"50%","DRC (Middle, PlusPlus)"
"DRC",4,"obv_60",4,577.293030383782,5,9,1534.56912856458,55.5555555555556,62.3807738838213,"60%","DRC (Middle, PlusPlus)"
"DRC",4,"obv_70",6,2063.45649290713,23,29,8757.56051586395,79.3103448275862,76.4379990390102,"70%","DRC (Middle, PlusPlus)"
"DRC",4,"obv_80",39,18412.3222575498,178,217,108713.271515868,82.0276497695853,83.0634089096819,"80%","DRC (Middle, PlusPlus)"
"DRC",4,"obv_90",3,535.833066533872,23,26,5689.90342798936,88.4615384615385,90.5827388229818,"90%","DRC (Middle, PlusPlus)"
"DRC",5,"obv_50",24.5,110167.451024434,241,486,228203.373532711,49.5884773662551,51.7240041989813,"50%","DRC (Middle, PlusPlus)"
"DRC",5,"obv_60",30.6,139995.045525402,472,778,335374.828012304,60.6683804627249,58.2571398231872,"60%","DRC (Middle, PlusPlus)"
"DRC",5,"obv_70",6.5,18725.0975940905,135,200,56931.5884641545,67.5,67.1094763043889,"70%","DRC (Middle, PlusPlus)"
"DRC",5,"obv_80",10.5,38654.6837207288,425,530,178649.838561759,80.188679245283,78.3628778889906,"80%","DRC (Middle, PlusPlus)"
"DRC",5,"obv_90",4.8,15993.7472631726,293,341,131139.516281669,85.9237536656891,87.8040214599997,"90%","DRC (Middle, PlusPlus)"
"DRC",6,"obv_50",35.1,137842.429987735,324,675,271332.725213309,48,49.1980077672643,"50%","DRC (Middle, PlusPlus)"
"DRC",6,"obv_60",51.6,269667.972019335,766,1282,658220.574490497,59.7503900156006,59.0307592210903,"60%","DRC (Middle, PlusPlus)"
"DRC",6,"obv_70",30.3,113872.464341711,640,943,391299.497971783,67.8685047720042,70.8988984315226,"70%","DRC (Middle, PlusPlus)"
"DRC",6,"obv_80",17.4,55092.6072720312,608,782,262303.921415034,77.7493606138107,78.9966512986818,"80%","DRC (Middle, PlusPlus)"
"DRC",6,"obv_90",4.6,15948.7369045985,450,496,165388.887532225,90.7258064516129,90.3568267840903,"90%","DRC (Middle, PlusPlus)"
"DRC",7,"obv_50",14,11404.0094775707,16,30,23836.8279749458,53.3333333333333,52.1580241735305,"50%","DRC (Middle, PlusPlus)"
"DRC",7,"obv_60",3,1040.00286977152,8,11,3179.1221904601,72.7272727272727,67.2864769749223,"60%","DRC (Middle, PlusPlus)"
"DRC",7,"obv_70",1,341.20799940982,9,10,2049.35444562175,90,83.3504643309127,"70%","DRC (Middle, PlusPlus)"
"DRC",7,"obv_80",11,1358.7523991752,11,22,3169.65312497421,50,57.1324575402472,"80%","DRC (Middle, PlusPlus)"
"DRC",7,"obv_90",15,3843.43186870016,57,72,29721.6009570072,79.1666666666667,87.0685570596962,"90%","DRC (Middle, PlusPlus)"
"DRC",8,"obv_50",89,23072.4807358838,86,175,43447.0004536905,49.1428571428571,46.8951124474602,"50%","DRC (Middle, PlusPlus)"
"DRC",8,"obv_60",24,12307.2188946517,37,61,30878.6039319201,60.655737704918,60.1432146291777,"60%","DRC (Middle, PlusPlus)"
"DRC",8,"obv_70",13,8744.56854904644,34,47,29859.6498033954,72.3404255319149,70.7144303211082,"70%","DRC (Middle, PlusPlus)"
"DRC",8,"obv_80",42,11846.5893860869,135,177,56965.7702740469,76.271186440678,79.2040214165521,"80%","DRC (Middle, PlusPlus)"
"DRC",8,"obv_90",8,3464.73075504171,52,60,27462.2026255086,86.6666666666667,87.3836385147656,"90%","DRC (Middle, PlusPlus)"
"DRC",9,"obv_50",35.1,117940.319849403,368,719,249398.607262339,51.1821974965229,52.7101128815273,"50%","DRC (Middle, PlusPlus)"
"DRC",9,"obv_60",10.9,44007.1911940603,161,270,106259.707655732,59.6296296296296,58.5852510185347,"60%","DRC (Middle, PlusPlus)"
"DRC",9,"obv_70",15.1,69771.3934697805,357,508,242976.981655307,70.2755905511811,71.2847723292737,"70%","DRC (Middle, PlusPlus)"
"DRC",9,"obv_80",10.6,47427.1340118998,570,676,289597.279073302,84.3195266272189,83.6230733369925,"80%","DRC (Middle, PlusPlus)"
"DRC",9,"obv_90",6.8,30699.2364020838,591,659,270966.922161591,89.6813353566009,88.6704856234163,"90%","DRC (Middle, PlusPlus)"
"DRC",10,"obv_50",19.9,40683.845098978,183,382,82013.672531033,47.9057591623037,50.3938260006785,"50%","DRC (Middle, PlusPlus)"
"DRC",10,"obv_60",27.6,143699.156029374,428,704,362397.036508235,60.7954545454545,60.3475907491014,"60%","DRC (Middle, PlusPlus)"
"DRC",10,"obv_70",20.6,90016.7562715545,478,684,288048.951951668,69.8830409356725,68.7494935629349,"70%","DRC (Middle, PlusPlus)"
"DRC",10,"obv_80",12.4,66228.2166235168,489,613,355554.362764854,79.7716150081566,81.3732515870388,"80%","DRC (Middle, PlusPlus)"
"DRC",10,"obv_90",5.2,22807.3188504671,452,504,259835.555448313,89.6825396825397,91.2224026418879,"90%","DRC (Middle, PlusPlus)"
"DRC",11,"obv_50",48.6,287896.757397394,564,1050,614837.824534887,53.7142857142857,53.175171417734,"50%","DRC (Middle, PlusPlus)"
"DRC",11,"obv_60",17,58169.0284618628,259,429,145898.680506715,60.3729603729604,60.1305315032061,"60%","DRC (Middle, PlusPlus)"
"DRC",11,"obv_70",12.9,71920.4342616825,309,438,228765.091322256,70.5479452054795,68.5614470958028,"70%","DRC (Middle, PlusPlus)"
"DRC",11,"obv_80",7.1,32911.8472553443,253,324,152040.226094007,78.0864197530864,78.3531976366604,"80%","DRC (Middle, PlusPlus)"
"DRC",11,"obv_90",6,26947.4376528712,675,735,249962.472034458,91.8367346938775,89.2194066439076,"90%","DRC (Middle, PlusPlus)"
"DRC",12,"obv_50",25,9777.9892819334,18,43,21454.1172565559,41.8604651162791,54.4237165994538,"50%","DRC (Middle, PlusPlus)"
"DRC",12,"obv_60",2,260.033472952598,3,5,659.112049613336,60,60.5479109196767,"60%","DRC (Middle, PlusPlus)"
"DRC",12,"obv_70",11,3342.67951932643,25,36,9594.38660026404,69.4444444444444,65.1600497395588,"70%","DRC (Middle, PlusPlus)"
"DRC",12,"obv_80",9,1869.10992162804,21,30,6869.33767958231,70,72.7905366017515,"80%","DRC (Middle, PlusPlus)"
"DRC",12,"obv_90",8,2177.73856919501,43,51,19219.5906214804,84.3137254901961,88.669172969995,"90%","DRC (Middle, PlusPlus)"
"DRC",13,"obv_50",21.1,81315.695388974,228,439,160700.490019127,51.9362186788155,49.3992237489159,"50%","DRC (Middle, PlusPlus)"
"DRC",13,"obv_60",25.5,133787.421654342,336,591,322148.151199327,56.8527918781726,58.4702190106432,"60%","DRC (Middle, PlusPlus)"
"DRC",13,"obv_70",17.6,77602.1063178368,383,559,238145.240969524,68.515205724508,67.4139588085374,"70%","DRC (Middle, PlusPlus)"
"DRC",13,"obv_80",11.2,44155.4204461685,500,612,240353.431735794,81.6993464052288,81.6289619302353,"80%","DRC (Middle, PlusPlus)"
"DRC",13,"obv_90",2.1,9569.88185848161,291,312,124362.08518114,93.2692307692308,92.304823576621,"90%","DRC (Middle, PlusPlus)"
"DRC",14,"obv_50",39.5,207077.567427999,355,750,405389.461330767,47.3333333333333,48.9188577452833,"50%","DRC (Middle, PlusPlus)"
"DRC",14,"obv_60",20.5,102085.764402227,326,531,247704.243954587,61.3935969868173,58.7872364346961,"60%","DRC (Middle, PlusPlus)"
"DRC",14,"obv_70",23.5,86370.9299846171,588,823,309396.995567674,71.4459295261239,72.0841083714643,"70%","DRC (Middle, PlusPlus)"
