"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted","coverage_name","eff_name","arm_label","coverage_label","scenario_label"
"DRC",1,"full__obv_50",26.9,151026.401035624,309,578,316231.908917853,53.4602076124567,52.2418842701746,"full","obv_50","50%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",1,"full__obv_60",34.3,173208.341019819,453,796,415060.857139587,56.9095477386935,58.269169920408,"full","obv_60","60%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",1,"full__obv_70",17.6,67470.3703015863,436,612,242879.516061862,71.2418300653595,72.2206419892563,"full","obv_70","70%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",1,"full__obv_80",9.4,49219.3336827625,348,442,226176.242565384,78.7330316742081,78.2385041308952,"full","obv_80","80%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",1,"full__obv_90",6.2,42156.1904656197,769,831,459949.614943766,92.5391095066185,90.8346068578025,"full","obv_90","90%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",1,"ramp_high__obv_50",40.9,147611.865689266,205,614,206476.730863939,33.3876221498371,28.5092004936206,"ramp_high","obv_50","50%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",1,"ramp_high__obv_60",39.1,181143.184482171,292,683,300765.233152634,42.7525622254758,39.7725652717833,"ramp_high","obv_60","60%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",1,"ramp_high__obv_70",51,271838.812384798,352,862,427137.124885605,40.8352668213457,36.3579523888023,"ramp_high","obv_70","70%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",1,"ramp_high__obv_80",37.6,186540.192292276,411,787,359108.214913892,52.2236340533672,48.0546017759563,"ramp_high","obv_80","80%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",1,"ramp_high__obv_90",20.8,91007.4502771346,202,410,177362.250828569,49.2682926829268,48.6883765559005,"ramp_high","obv_90","90%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",1,"ramp_low__obv_50",67.8,296220.390081349,126,804,337841.173422108,15.6716417910448,12.319630233097,"ramp_low","obv_50","50%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",1,"ramp_low__obv_60",91.1,442468.967947828,178,1089,519906.412502399,16.3452708907254,14.894496911829,"ramp_low","obv_60","60%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",1,"ramp_low__obv_70",73.6,380826.21708246,213,949,461151.599333286,22.4446786090622,17.418432976695,"ramp_low","obv_70","70%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",1,"ramp_low__obv_80",50.7,300086.612433704,168,675,381422.952716693,24.8888888888889,21.3244482807522,"ramp_low","obv_80","80%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",1,"ramp_low__obv_90",39.4,172484.125222683,107,501,203241.208991784,21.3572854291417,15.1332910887892,"ramp_low","obv_90","90%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",2,"full__obv_50",34,157236.689245652,341,681,307396.491079061,50.0734214390602,48.8488991225306,"full","obv_50","50%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",2,"full__obv_60",16,57703.541507079,245,405,152175.197219891,60.4938271604938,62.0808498616904,"full","obv_60","60%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",2,"full__obv_70",13.5,52130.5668740442,310,445,170275.811921885,69.6629213483146,69.3846317420823,"full","obv_70","70%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",2,"full__obv_80",8.2,31097.8281500659,250,332,136997.236546118,75.3012048192771,77.300397486779,"full","obv_80","80%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",2,"full__obv_90",3.5,12934.5126119835,348,383,143400.863534275,90.8616187989556,90.980171044164,"full","obv_90","90%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",2,"ramp_high__obv_50",17.6,55930.3335443038,77,253,76198.1809461936,30.4347826086957,26.5988599074322,"ramp_high","obv_50","50%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",2,"ramp_high__obv_60",31.8,135570.128608397,138,456,189128.671306321,30.2631578947368,28.3185739782299,"ramp_high","obv_60","60%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",2,"ramp_high__obv_70",26,110945.835265687,161,421,172296.34669492,38.2422802850356,35.6075521078022,"ramp_high","obv_70","70%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",2,"ramp_high__obv_80",28.3,118584.150240386,230,513,208217.960700641,44.8343079922027,43.0480685521283,"ramp_high","obv_80","80%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",2,"ramp_high__obv_90",19.5,61027.8898252376,171,366,104104.898869089,46.7213114754098,41.3784649058837,"ramp_high","obv_90","90%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",2,"ramp_low__obv_50",27.7,72277.9734128195,12,289,74497.7185465853,4.1522491349481,2.97961491582824,"ramp_low","obv_50","50%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",2,"ramp_low__obv_60",24.4,62580.1065903293,8,252,65708.0108075228,3.17460317460317,4.76030879454858,"ramp_low","obv_60","60%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",2,"ramp_low__obv_70",38.5,146463.653421508,86,471,173197.230475478,18.2590233545648,15.4353374938952,"ramp_low","obv_70","70%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",2,"ramp_low__obv_80",36.7,142264.788744224,28,395,150919.211476638,7.08860759493671,5.73447386037618,"ramp_low","obv_80","80%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",2,"ramp_low__obv_90",53.2,222838.165831555,210,742,265434.345904319,28.3018867924528,16.0477273307042,"ramp_low","obv_90","90%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",3,"full__obv_50",46.7,290959.598182893,575,1042,619565.058127958,55.1823416506718,53.0380878705395,"full","obv_50","50%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",3,"full__obv_60",28.7,131913.366876419,427,714,323413.963756374,59.8039215686275,59.212222829133,"full","obv_60","60%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",3,"full__obv_70",11.9,74950.420377055,275,394,241579.552313306,69.7969543147208,68.9748492124651,"full","obv_70","70%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",3,"full__obv_80",14.3,60987.7786727553,597,740,317694.731859086,80.6756756756757,80.8030248673413,"full","obv_80","80%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",3,"full__obv_90",5.6,29148.3519963457,493,549,280129.734658491,89.7996357012751,89.5946954607012,"full","obv_90","90%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",3,"ramp_high__obv_50",51.6,178986.073352903,291,807,273685.996957741,36.0594795539033,34.6016693062525,"ramp_high","obv_50","50%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",3,"ramp_high__obv_60",30.6,112697.854647244,165,471,164633.605335679,35.031847133758,31.5462633418863,"ramp_high","obv_60","60%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",3,"ramp_high__obv_70",25.3,108500.092211661,179,432,184409.996483847,41.4351851851852,41.1636601700358,"ramp_high","obv_70","70%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",3,"ramp_high__obv_80",29.9,149523.190314256,348,647,314424.123279705,53.7867078825348,52.4453821307967,"ramp_high","obv_80","80%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",3,"ramp_high__obv_90",24.8,132536.671235465,257,505,250957.034376482,50.8910891089109,47.18750499871,"ramp_high","obv_90","90%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",3,"ramp_low__obv_50",41.1,125497.205124419,36,447,132202.172941539,8.05369127516779,5.07175310959946,"ramp_low","obv_50","50%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",3,"ramp_low__obv_60",71.1,334017.498536806,185,896,394697.351306948,20.6473214285714,15.3737674117182,"ramp_low","obv_60","60%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",3,"ramp_low__obv_70",29,92753.2614492076,48,338,107087.973101475,14.2011834319527,13.3859211609919,"ramp_low","obv_70","70%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",3,"ramp_low__obv_80",33.4,137864.385960538,71,405,158761.719543199,17.5308641975309,13.1627029757478,"ramp_low","obv_80","80%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",3,"ramp_low__obv_90",79.6,352659.858296653,323,1119,461052.401571359,28.8650580875782,23.5098099273059,"ramp_low","obv_90","90%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",4,"full__obv_50",57.1,239577.405226474,508,1079,465865.102804445,47.0806302131603,48.5736528054473,"full","obv_50","50%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",4,"full__obv_60",27.1,161508.236914891,395,666,391461.318258861,59.3093093093093,58.7422232078393,"full","obv_60","60%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",4,"full__obv_70",30.4,109664.193759404,727,1031,354739.068830503,70.5140640155189,69.0859554542602,"full","obv_70","70%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",4,"full__obv_80",26.6,100711.872184476,1100,1366,504008.413850138,80.5270863836018,80.017819263148,"full","obv_80","80%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",4,"full__obv_90",7.3,29761.2111713363,608,681,280068.837478133,89.28046989721,89.3736084887845,"full","obv_90","90%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",4,"ramp_high__obv_50",83.9,395894.636697846,463,1302,567137.834238732,35.5606758832565,30.1942820955942,"ramp_high","obv_50","50%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",4,"ramp_high__obv_60",89,435867.14538669,621,1511,718955.836502656,41.0986101919259,39.3749764231757,"ramp_high","obv_60","60%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",4,"ramp_high__obv_70",51,276968.276247592,420,930,486543.324759788,45.1612903225806,43.0742829768892,"ramp_high","obv_70","70%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",4,"ramp_high__obv_80",46,260805.145385134,620,1080,564160.547886185,57.4074074074074,53.7711124320326,"ramp_high","obv_80","80%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",4,"ramp_high__obv_90",36.4,137258.80259404,479,843,272930.410921225,56.8208778173191,49.7092309608341,"ramp_high","obv_90","90%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",4,"ramp_low__obv_50",75,444683.472268113,116,866,499481.66484303,13.3949191685912,10.9710118372691,"ramp_low","obv_50","50%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",4,"ramp_low__obv_60",61.3,328620.073309555,134,747,388967.409401948,17.9384203480589,15.5147538415055,"ramp_low","obv_60","60%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",4,"ramp_low__obv_70",85.7,400209.832035829,267,1124,489816.695187958,23.7544483985765,18.2939585425408,"ramp_low","obv_70","70%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",4,"ramp_low__obv_80",77.4,426866.942779286,285,1059,548158.693238712,26.9121813031161,22.1271233961087,"ramp_low","obv_80","80%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",4,"ramp_low__obv_90",79.7,423637.468800453,222,1019,488326.279709528,21.7860647693817,13.2470468203255,"ramp_low","obv_90","90%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",5,"full__obv_50",24.5,110167.451024434,241,486,228203.373532711,49.5884773662551,51.7240041989813,"full","obv_50","50%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",5,"full__obv_60",30.6,139995.045525402,472,778,335374.828012304,60.6683804627249,58.2571398231872,"full","obv_60","60%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",5,"full__obv_70",6.5,18725.0975940905,135,200,56931.5884641545,67.5,67.1094763043889,"full","obv_70","70%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",5,"full__obv_80",10.5,38654.6837207288,425,530,178649.838561759,80.188679245283,78.3628778889906,"full","obv_80","80%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",5,"full__obv_90",4.8,15993.7472631726,293,341,131139.516281669,85.9237536656891,87.8040214599997,"full","obv_90","90%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",5,"ramp_high__obv_50",34.4,168152.469864183,131,475,223726.277900524,27.5789473684211,24.8400896657528,"ramp_high","obv_50","50%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",5,"ramp_high__obv_60",20.9,75405.7304019758,98,307,107039.473917114,31.9218241042345,29.55334360073,"ramp_high","obv_60","60%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",5,"ramp_high__obv_70",22.4,83473.9645863289,128,352,140121.475354843,36.3636363636364,40.4274295749885,"ramp_high","obv_70","70%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",5,"ramp_high__obv_80",22.2,93373.3548887052,154,376,150468.952741896,40.9574468085106,37.9451021707638,"ramp_high","obv_80","80%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",5,"ramp_high__obv_90",19.3,109684.69550982,227,420,238787.949924306,54.0476190476191,54.0660675948728,"ramp_high","obv_90","90%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",5,"ramp_low__obv_50",47.3,121813.089359984,73,546,133575.471683358,13.3699633699634,8.80579508733225,"ramp_low","obv_50","50%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",5,"ramp_low__obv_60",48.9,189395.598145127,117,606,218308.697278193,19.3069306930693,13.2441352513877,"ramp_low","obv_60","60%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",5,"ramp_low__obv_70",34.4,155947.352839124,49,393,171282.286044028,12.4681933842239,8.95301759398641,"ramp_low","obv_70","70%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",5,"ramp_low__obv_80",39.2,196241.008786259,115,507,241209.650572757,22.6824457593688,18.6429695825684,"ramp_low","obv_80","80%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",5,"ramp_low__obv_90",26.8,114325.191480329,45,313,126686.580085091,14.3769968051118,9.75745702225045,"ramp_low","obv_90","90%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",6,"full__obv_50",35.1,137842.429987735,324,675,271332.725213309,48,49.1980077672643,"full","obv_50","50%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",6,"full__obv_60",51.6,269667.972019335,766,1282,658220.574490497,59.7503900156006,59.0307592210903,"full","obv_60","60%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",6,"full__obv_70",30.3,113872.464341711,640,943,391299.497971783,67.8685047720042,70.8988984315226,"full","obv_70","70%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",6,"full__obv_80",17.4,55092.6072720312,608,782,262303.921415034,77.7493606138107,78.9966512986818,"full","obv_80","80%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",6,"full__obv_90",4.6,15948.7369045985,450,496,165388.887532225,90.7258064516129,90.3568267840903,"full","obv_90","90%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",6,"ramp_high__obv_50",42.7,198524.627080857,226,653,280072.98377496,34.6094946401225,29.1168236203842,"ramp_high","obv_50","50%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",6,"ramp_high__obv_60",36.2,140824.987081496,252,614,224330.921166734,41.042345276873,37.224442199465,"ramp_high","obv_60","60%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",6,"ramp_high__obv_70",21.5,91922.7376992068,177,392,169785.466490129,45.1530612244898,45.8594780816819,"ramp_high","obv_70","70%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",6,"ramp_high__obv_80",28.7,140165.980518506,286,573,251421.431153073,49.912739965096,44.2505836214221,"ramp_high","obv_80","80%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",6,"ramp_high__obv_90",35.7,183542.222096625,590,947,417719.17084472,62.3020063357973,56.0608574115806,"ramp_high","obv_90","90%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",6,"ramp_low__obv_50",68.7,287435.191205349,153,840,337037.843809123,18.2142857142857,14.7172353238367,"ramp_low","obv_50","50%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",6,"ramp_low__obv_60",65.2,329273.463869732,183,835,400671.80031446,21.9161676646707,17.8196559849464,"ramp_low","obv_60","60%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",6,"ramp_low__obv_70",89.9,335421.862810458,241,1140,387277.8086997,21.140350877193,13.3898572870338,"ramp_low","obv_70","70%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",6,"ramp_low__obv_80",48.7,203503.020872437,114,601,230819.983624294,18.9683860232945,11.8347477211162,"ramp_low","obv_80","80%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",6,"ramp_low__obv_90",52.5,237097.195318547,134,659,275756.233230697,20.3338391502276,14.0192798034805,"ramp_low","obv_90","90%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",7,"full__obv_50",38.3,202359.799892025,342,725,394269.88411915,47.1724137931034,48.6748016922157,"full","obv_50","50%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",7,"full__obv_60",17.9,66585.5565022914,291,470,167323.014649965,61.9148936170213,60.2053808069461,"full","obv_60","60%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",7,"full__obv_70",10.6,47508.6788817017,227,333,145892.887269329,68.1681681681682,67.4359183844259,"full","obv_70","70%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",7,"full__obv_80",15.2,49016.8229452367,596,748,242249.999889579,79.6791443850267,79.7660173508445,"full","obv_80","80%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",7,"full__obv_90",5.6,21538.0741822395,487,543,242062.286813106,89.6869244935543,91.1022594780042,"full","obv_90","90%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",7,"ramp_high__obv_50",46.4,194913.273366922,179,643,267005.072879472,27.8382581648523,27.0001609838675,"ramp_high","obv_50","50%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",7,"ramp_high__obv_60",48.7,245394.478336298,338,825,394673.526363491,40.969696969697,37.8234257064681,"ramp_high","obv_60","60%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",7,"ramp_high__obv_70",44.1,168154.638639164,285,726,249552.482769144,39.2561983471074,32.6175252703374,"ramp_high","obv_70","70%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",7,"ramp_high__obv_80",21.1,74850.6913263267,122,333,113558.547588098,36.6366366366366,34.0862551378988,"ramp_high","obv_80","80%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",7,"ramp_high__obv_90",22.2,103566.980907732,262,484,209776.249124776,54.1322314049587,50.6297870517602,"ramp_high","obv_90","90%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",7,"ramp_low__obv_50",35.3,121163.174308041,40,393,131100.890442637,10.1781170483461,7.58020491016037,"ramp_low","obv_50","50%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",7,"ramp_low__obv_60",81.4,390010.448798328,158,972,440464.902852153,16.2551440329218,11.4548182447945,"ramp_low","obv_60","60%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",7,"ramp_low__obv_70",48.7,235281.824959877,84,571,277103.381191198,14.7110332749562,15.0924019950751,"ramp_low","obv_70","70%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",7,"ramp_low__obv_80",38.5,176494.744034704,53,438,199975.750435541,12.1004566210046,11.7419268834829,"ramp_low","obv_80","80%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
