"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted"
"DRC",1,"cov_conflict_hi",66.8,248009.85669744,245,913,357324.909791361,26.8346111719606,30.592620357128
"DRC",1,"cov_conflict_lo",18.6,76772.3458560485,124,310,118343.557939677,40,35.1275665590673
"DRC",1,"cov_conflict_mid",40.1,244846.95468684,232,633,371571.452521086,36.650868878357,34.1050145199341
"DRC",1,"dpc_conflict_hi",36.7,185993.260255077,468,835,394030.682651866,56.0479041916168,52.797264669004
"DRC",1,"dpc_conflict_lo",61.7,227839.052206491,236,853,322329.985921176,27.6670574443142,29.3149684614798
"DRC",1,"dpc_conflict_mid",37.6,132338.038774462,303,679,235631.098472413,44.6244477172312,43.8367687319692
"DRC",1,"no_pep",59,324712.103171364,0,590,324712.103171364,0,0
"DRC",1,"optimistic_hi",11.9,44032.4150134214,535,654,243538.924268113,81.8042813455658,81.9197628692217
"DRC",1,"optimistic_lo",11.8,46669.1417718402,582,700,270802.219637569,83.1428571428571,82.7663370579826
"DRC",1,"optimistic_mid",4.8,18075.5759753293,320,368,132103.963969645,86.9565217391304,86.3171585225991
"DRC",1,"with_conflict_hi",64.5,299023.92518458,251,896,453892.407086882,28.0133928571429,34.1200864972077
"DRC",1,"with_conflict_lo",51.5,225633.976345301,163,678,312268.674282814,24.0412979351032,27.7436403560126
"DRC",1,"with_conflict_mid",56.5,204896.993910064,197,762,286097.996663548,25.8530183727034,28.3822339549535
"DRC",2,"cov_conflict_hi",43,222894.351857612,165,595,311812.719992197,27.7310924369748,28.5165942354148
"DRC",2,"cov_conflict_lo",42.8,217448.140428246,198,626,305216.459104221,31.629392971246,28.7560896727412
"DRC",2,"cov_conflict_mid",25.4,116279.169145407,95,349,164313.041102062,27.2206303724928,29.2331464590315
"DRC",2,"dpc_conflict_hi",17.2,86564.3854602458,203,375,186171.339336883,54.1333333333333,53.5028400351115
"DRC",2,"dpc_conflict_lo",20.4,85588.2719452064,97,301,123247.66831755,32.2259136212625,30.5558692399059
"DRC",2,"dpc_conflict_mid",14.9,67543.4727186994,130,279,124185.259765899,46.594982078853,45.6107167259424
"DRC",2,"no_pep",49.1,220731.427976388,0,491,220731.427976388,0,0
"DRC",2,"optimistic_hi",9.4,45952.4550310795,455,549,248493.310668681,82.8779599271403,81.5075685911125
"DRC",2,"optimistic_lo",15.9,74032.4845168426,618,777,344905.379953025,79.5366795366795,78.5354219389313
"DRC",2,"optimistic_mid",4.5,12439.217112281,186,231,65137.320735723,80.5194805194805,80.9030875513751
"DRC",2,"with_conflict_hi",31.6,133136.873339249,142,458,187539.26947499,31.0043668122271,29.0085358058817
"DRC",2,"with_conflict_lo",38,131905.312025723,83,463,166116.939332939,17.92656587473,20.5949058805179
"DRC",2,"with_conflict_mid",59.6,320066.648066556,201,797,437865.192426171,25.2195734002509,26.9029250091572
"DRC",3,"cov_conflict_hi",63.1,384596.834992645,239,870,525092.786257479,27.4712643678161,26.7564047615657
"DRC",3,"cov_conflict_lo",76.4,311489.464106714,282,1046,439781.736035075,26.9598470363289,29.1718053334823
"DRC",3,"cov_conflict_mid",30.3,109719.801633762,165,468,172632.721587004,35.2564102564103,36.4432185132038
"DRC",3,"dpc_conflict_hi",39.5,205301.201888856,479,874,417757.602596846,54.8054919908467,50.8563816402929
"DRC",3,"dpc_conflict_lo",46.3,231568.492018674,247,710,354587.513616328,34.7887323943662,34.6935571258618
"DRC",3,"dpc_conflict_mid",28.8,136741.769058266,264,552,280997.195941522,47.8260869565217,51.3369631322858
"DRC",3,"no_pep",54.4,187730.410539405,0,544,187730.410539405,0,0
"DRC",3,"optimistic_hi",4,14309.0274234862,195,235,83777.6139854996,82.9787234042553,82.9202256512547
"DRC",3,"optimistic_lo",16,70288.6406702371,730,890,401710.540439166,82.0224719101124,82.5026645819662
"DRC",3,"optimistic_mid",9.4,40198.595859336,518,612,259293.358211039,84.640522875817,84.4968663537389
"DRC",3,"with_conflict_hi",31.4,93021.6643922741,134,448,146544.179477149,29.9107142857143,36.5231258422113
"DRC",3,"with_conflict_lo",52.8,212602.460754832,143,671,270096.324547635,21.3114754098361,21.2864295317959
"DRC",3,"with_conflict_mid",23.7,98484.8844360284,110,347,154210.871650583,31.700288184438,36.1362247798071
"DRC",4,"cov_conflict_hi",52.9,132956.280479547,186,715,199605.247171562,26.013986013986,33.3903880967264
"DRC",4,"cov_conflict_lo",69.9,355895.046119399,299,998,524605.664206188,29.9599198396794,32.1595113430724
"DRC",4,"cov_conflict_mid",78.5,294166.711807205,298,1083,449055.246957141,27.5161588180979,34.4920889354888
"DRC",4,"dpc_conflict_hi",46,238609.119695208,677,1137,532267.462168127,59.542656112577,55.171199320871
"DRC",4,"dpc_conflict_lo",38.5,114859.586713622,141,526,160605.365766849,26.8060836501901,28.4833441490591
"DRC",4,"dpc_conflict_mid",37,135831.658917545,385,755,254639.198877117,50.9933774834437,46.6572077211515
"DRC",4,"no_pep",104,436333.602295213,0,1040,436333.602295213,0,0
"DRC",4,"optimistic_hi",11.3,50472.2044392239,452,565,242973.185003039,80,79.2272532301897
"DRC",4,"optimistic_lo",14.3,44405.3499279224,681,824,255502.272961315,82.6456310679612,82.6203699038538
"DRC",4,"optimistic_mid",12,45917.7432105733,508,628,261239.775620838,80.8917197452229,82.4231424554513
"DRC",4,"with_conflict_hi",65.4,296911.381210881,317,971,466770.8319369,32.6467559217302,36.3903309941571
"DRC",4,"with_conflict_lo",53.9,339046.61753177,191,730,455914.12877438,26.1643835616438,25.6336673655588
"DRC",4,"with_conflict_mid",55.6,256377.724492227,247,803,360522.510895639,30.7596513075965,28.8871799280125
"DRC",5,"cov_conflict_hi",34.5,102256.186684413,175,520,156669.588650823,33.6538461538462,34.731310929579
"DRC",5,"cov_conflict_lo",39.3,131261.481189673,109,502,178609.966991799,21.7131474103586,26.5094309122741
"DRC",5,"cov_conflict_mid",54.3,238916.950953952,237,780,359912.557012519,30.3846153846154,33.6180563031478
"DRC",5,"dpc_conflict_hi",29.2,144179.768025075,272,564,284148.658389033,48.2269503546099,49.2590361529435
