"scenario","particle_id","rep","arm","n_eligible","n_received","pct_received","dpc_mean","dpc_median","dpc_min","dpc_max"
"DRC",1,1,"with_conflict_mid",228,78,34.2105263157895,1.84304182696778,1.5434055318359,1,4.78132497268204
"DRC",1,2,"with_conflict_mid",18,8,44.4444444444444,NA,NA,NA,NA
"DRC",1,3,"with_conflict_mid",283,116,40.9893992932862,2.12618973102364,1.66629650601791,1,4.89138941752673
"DRC",1,4,"with_conflict_mid",342,84,24.5614035087719,2.82073612861876,2.38674766101596,1,4.87295406087721
"DRC",1,5,"with_conflict_mid",66,39,59.0909090909091,1.2374256484112,1.00846161997963,1,2.21813634679082
"DRC",1,6,"with_conflict_mid",53,30,56.6037735849057,1.22330425271672,1.07594967391096,1,2.44087488873413
"DRC",1,7,"with_conflict_mid",16,11,68.75,1.62762518935923,1.1446151527367,1,2.62967496598301
"DRC",1,8,"with_conflict_mid",353,80,22.6628895184136,2.78037431768565,3.02339360051713,1,4.63473656729153
"DRC",1,9,"with_conflict_mid",10,4,40,NA,NA,NA,NA
"DRC",1,10,"with_conflict_mid",9,3,33.3333333333333,NA,NA,NA,NA
"DRC",2,1,"with_conflict_mid",119,49,41.1764705882353,1.5616964706249,1.14714960392353,1,3.49978521389609
"DRC",2,2,"with_conflict_mid",22,10,45.4545454545455,1,1,1,1
"DRC",2,3,"with_conflict_mid",22,16,72.7272727272727,1.3780751779254,1.38970561990981,1.08507326105946,1.64781621082252
"DRC",2,4,"with_conflict_mid",29,12,41.3793103448276,1,1,1,1
"DRC",2,5,"with_conflict_mid",95,35,36.8421052631579,1.63482108892936,1.2997660840155,1,3.88956666285554
"DRC",2,6,"with_conflict_mid",393,80,20.3562340966921,2.67808348316858,3.11123448573365,1,4.81499318144457
"DRC",2,7,"with_conflict_mid",355,107,30.1408450704225,2.39121993175572,1.9425595907554,1,4.58682842100935
"DRC",2,8,"with_conflict_mid",55,24,43.6363636363636,1.04811877949326,1,1,1.14435633847978
"DRC",2,9,"with_conflict_mid",275,105,38.1818181818182,1.62518098391078,1.41590847168493,1,4.59772394585273
"DRC",2,10,"with_conflict_mid",22,8,36.3636363636364,1,1,1,1
"DRC",3,1,"with_conflict_mid",21,8,38.0952380952381,1.24173860654181,1,1,1.72521581962542
"DRC",3,2,"with_conflict_mid",61,28,45.9016393442623,1.63176427287972,1.10015951555563,1,3.13434229827545
"DRC",3,3,"with_conflict_mid",61,28,45.9016393442623,1.63176427287972,1.10015951555563,1,3.13434229827545
"DRC",3,4,"with_conflict_mid",108,45,41.6666666666667,1.65387738549866,1.19595923146912,1,4.04253366362866
"DRC",3,5,"with_conflict_mid",114,29,25.4385964912281,2.36591489433775,2.47694826197513,1.06987053349041,3.43989251991033
"DRC",3,6,"with_conflict_mid",27,10,37.037037037037,1,1,1,1
"DRC",3,7,"with_conflict_mid",68,40,58.8235294117647,1.09771093549312,1.12958573919794,1,1.19810147316894
"DRC",3,8,"with_conflict_mid",22,9,40.9090909090909,NA,NA,NA,NA
"DRC",3,9,"with_conflict_mid",99,39,39.3939393939394,1.92458666448857,1.43622261799362,1.0800874578944,4.48864070456952
"DRC",3,10,"with_conflict_mid",13,1,7.69230769230769,NA,NA,NA,NA
"DRC",4,1,"with_conflict_mid",14,7,50,1,1,1,1
"DRC",4,2,"with_conflict_mid",402,135,33.5820895522388,2.0730327522453,1.5856138736289,1,4.91750178619226
"DRC",4,3,"with_conflict_mid",13,7,53.8461538461538,1.09899189778502,1.09899189778502,1,1.19798379557003
"DRC",4,4,"with_conflict_mid",206,73,35.4368932038835,1.81772465042176,1.54312081467674,1,3.03057736302308
"DRC",4,5,"with_conflict_mid",23,12,52.1739130434783,NA,NA,NA,NA
"DRC",4,6,"with_conflict_mid",15,9,60,NA,NA,NA,NA
"DRC",4,7,"with_conflict_mid",6,4,66.6666666666667,1,1,1,1
"DRC",4,8,"with_conflict_mid",371,120,32.3450134770889,2.21788654844904,1.55337614331218,1,4.82444879531938
"DRC",4,9,"with_conflict_mid",65,37,56.9230769230769,1.27726521652529,1,1,2.99416378772864
"DRC",4,10,"with_conflict_mid",365,131,35.8904109589041,2.45672672931457,2.74626873340884,1,4.53929364034179
"DRC",5,1,"with_conflict_mid",189,85,44.973544973545,2.03212526284088,1.42193123489279,1,4.87322062726611
"DRC",5,2,"with_conflict_mid",30,12,40,2.18192037537013,2.51632563554815,1,3.02943549056225
"DRC",5,3,"with_conflict_mid",30,15,50,1.04534958368525,1,1,1.19528582645241
"DRC",5,4,"with_conflict_mid",64,37,57.8125,1.22137146070982,1.07802523157998,1,1.86910995651108
"DRC",5,5,"with_conflict_mid",12,2,16.6666666666667,NA,NA,NA,NA
"DRC",5,6,"with_conflict_mid",195,69,35.3846153846154,1.67817016624521,1.11373081479533,1,4.77059179560481
"DRC",5,7,"with_conflict_mid",17,7,41.1764705882353,1.0903482152443,1.0903482152443,1.0903482152443,1.0903482152443
"DRC",5,8,"with_conflict_mid",48,27,56.25,1.50517804396679,1.16809445953007,1,2.68452325680704
"DRC",5,9,"with_conflict_mid",20,7,35,1.19390483186381,1.19390483186381,1.19390483186381,1.19390483186381
"DRC",5,10,"with_conflict_mid",11,3,27.2727272727273,NA,NA,NA,NA
"DRC",6,1,"with_conflict_mid",253,119,47.0355731225296,1.66759859979285,1.41590847168493,1,4.21920727488873
"DRC",6,2,"with_conflict_mid",38,18,47.3684210526316,1.42254997346379,1.42254997346379,1.02509524640216,1.82000470052543
"DRC",6,3,"with_conflict_mid",38,18,47.3684210526316,1.42254997346379,1.42254997346379,1.02509524640216,1.82000470052543
"DRC",6,4,"with_conflict_mid",133,69,51.8796992481203,1.12882247893353,1.10334185605785,1,1.42091474195264
"DRC",6,5,"with_conflict_mid",129,59,45.7364341085271,2.000644713624,1.41590847168493,1.07890079375177,4.54200758196694
"DRC",6,6,"with_conflict_mid",307,133,43.3224755700326,2.00585676190401,1.41590847168493,1,4.90948175889238
"DRC",6,7,"with_conflict_mid",10,4,40,NA,NA,NA,NA
"DRC",6,8,"with_conflict_mid",86,44,51.1627906976744,1.19002357186547,1.09808263501601,1,1.98138377167077
"DRC",6,9,"with_conflict_mid",338,100,29.585798816568,1.99954492048105,1.45870554774457,1,4.79855538377881
"DRC",6,10,"with_conflict_mid",15,7,46.6666666666667,1.19540488010372,1.19540488010372,1.19540488010372,1.19540488010372
"DRC",7,1,"with_conflict_mid",147,57,38.7755102040816,1.19904487963896,1.15581263370583,1,2.10677125066711
"DRC",7,2,"with_conflict_mid",19,10,52.6315789473684,1.4505684714279,1.50682356415104,1.06587780238299,1.77900404774967
"DRC",7,3,"with_conflict_mid",9,2,22.2222222222222,NA,NA,NA,NA
"DRC",7,4,"with_conflict_mid",71,45,63.3802816901408,1.44466931106298,1.09738451594634,1,3.22988950889629
"DRC",7,5,"with_conflict_mid",76,32,42.1052631578947,1.18017159037424,1,1,1.72068636149698
"DRC",7,6,"with_conflict_mid",57,28,49.1228070175439,1.20760516273428,1.03235545266642,1,1.85203909311817
"DRC",7,7,"with_conflict_mid",204,60,29.4117647058824,2.03959741742932,1.5598533750711,1,4.30268548296916
"DRC",7,8,"with_conflict_mid",70,20,28.5714285714286,1.05038986325627,1.03825747733822,1,1.12504449834864
"DRC",7,9,"with_conflict_mid",26,14,53.8461538461538,1.19793346264815,1.19793346264815,1.19793346264815,1.19793346264815
"DRC",7,10,"with_conflict_mid",28,12,42.8571428571429,1,1,1,1
"DRC",8,1,"with_conflict_mid",290,133,45.8620689655172,1.64576057007627,1.45631595032276,1,3.75009470082762
"DRC",8,2,"with_conflict_mid",28,17,60.7142857142857,1.18469541810788,1.16115479634778,1.06586814675971,1.32706331121615
"DRC",8,3,"with_conflict_mid",62,30,48.3870967741936,1.33896828036389,1.11182593779311,1,2.58812876523827
"DRC",8,4,"with_conflict_mid",149,72,48.3221476510067,1.51678457162163,1.49501940305147,1,2.57551058307312
"DRC",8,5,"with_conflict_mid",23,12,52.1739130434783,1,1,1,1
"DRC",8,6,"with_conflict_mid",215,88,40.9302325581395,1.93578594952992,1.41590847168493,1,4.0349411865491
"DRC",8,7,"with_conflict_mid",14,13,92.8571428571429,1.09532056362438,1.09532056362438,1.09532056362438,1.09532056362438
"DRC",8,8,"with_conflict_mid",27,15,55.5555555555556,1,1,1,1
"DRC",8,9,"with_conflict_mid",22,10,45.4545454545455,1,1,1,1
"DRC",8,10,"with_conflict_mid",1,0,0,NA,NA,NA,NA
"DRC",9,1,"with_conflict_mid",111,40,36.036036036036,1.09343729832603,1.07488276646483,1,1.28013909560746
"DRC",9,2,"with_conflict_mid",82,39,47.5609756097561,1.56105729816356,1.05406264533634,1,4.06417015529537
"DRC",9,3,"with_conflict_mid",56,36,64.2857142857143,1.07278118887703,1,1,1.34452442407461
"DRC",9,4,"with_conflict_mid",6,0,0,NA,NA,NA,NA
"DRC",9,5,"with_conflict_mid",29,14,48.2758620689655,1.0296999823879,1,1,1.17819989432738
"DRC",9,6,"with_conflict_mid",77,40,51.9480519480519,1.00960129872432,1,1,1.06720909107027
"DRC",9,7,"with_conflict_mid",3,0,0,NA,NA,NA,NA
"DRC",9,8,"with_conflict_mid",10,6,60,1.06029516922013,1.06029516922013,1,1.12059033844027
"DRC",9,9,"with_conflict_mid",80,42,52.5,1.15472664801674,1.09612899489983,1,1.41590847168493
"DRC",9,10,"with_conflict_mid",272,63,23.1617647058824,2.14489990596806,1.88699196181057,1,3.90827090758919
"DRC",10,1,"with_conflict_mid",192,88,45.8333333333333,1.96585727357895,1.41590847168493,1,4.68824447049537
"DRC",10,2,"with_conflict_mid",47,19,40.4255319148936,1.14753205343194,1,1,1.54190626992393
"DRC",10,3,"with_conflict_mid",347,84,24.207492795389,2.940372674863,2.99056562563996,1.00113488140994,4.90566000053206
"DRC",10,4,"with_conflict_mid",21,8,38.0952380952381,1.45049092635212,1.19472607106335,1.15328185083178,2.25922971245
"DRC",10,5,"with_conflict_mid",151,69,45.6953642384106,1.56264778346298,1.41590847168493,1,3.17938759382288
"DRC",10,6,"with_conflict_mid",17,11,64.7058823529412,1.15229573505241,1.15229573505241,1.15229573505241,1.15229573505241
"DRC",10,7,"with_conflict_mid",7,5,71.4285714285714,NA,NA,NA,NA
"DRC",10,8,"with_conflict_mid",125,38,30.4,2.57447907833507,1.56202907893372,1.41590847168493,4.92012213048575
"DRC",10,9,"with_conflict_mid",121,55,45.4545454545455,1.29936041768713,1,1,3.09552292380994
"DRC",10,10,"with_conflict_mid",9,6,66.6666666666667,1.64193482968401,1.64193482968401,1,2.28386965936801
"DRC",11,1,"with_conflict_mid",37,22,59.4594594594595,1.12553342426289,1,1,1.37660027278866
"DRC",11,2,"with_conflict_mid",35,14,40,2.08792900917791,1,1,4.63051956635254
"DRC",11,3,"with_conflict_mid",196,49,25,2.74611513182912,3.05974703992613,1,4.84582591098737
"DRC",11,4,"with_conflict_mid",196,49,25,2.74611513182912,3.05974703992613,1,4.84582591098737
"DRC",11,5,"with_conflict_mid",19,11,57.8947368421053,NA,NA,NA,NA
"DRC",11,6,"with_conflict_mid",21,10,47.6190476190476,1.17597857510064,1.17597857510064,1.17597857510064,1.17597857510064
"DRC",11,7,"with_conflict_mid",15,7,46.6666666666667,1,1,1,1
"DRC",11,8,"with_conflict_mid",119,49,41.1764705882353,2.0802235019789,1.16354687285013,1,4.88082674363327
"DRC",11,9,"with_conflict_mid",23,6,26.0869565217391,1,1,1,1
"DRC",11,10,"with_conflict_mid",335,131,39.1044776119403,2.07262453765338,1.41590847168493,1.07540559540275,4.92360734458848
"DRC",12,1,"with_conflict_mid",131,69,52.6717557251908,1.76376298553431,1.41590847168493,1,4.8069714014432
"DRC",12,2,"with_conflict_mid",14,3,21.4285714285714,1,1,1,1
"DRC",12,3,"with_conflict_mid",28,9,32.1428571428571,1,1,1,1
"DRC",12,4,"with_conflict_mid",29,10,34.4827586206897,1,1,1,1
"DRC",12,5,"with_conflict_mid",16,7,43.75,1.09795687440139,1.09768141823427,1,1.19725608281717
"DRC",12,6,"with_conflict_mid",39,12,30.7692307692308,2.60736722920943,1.73724191967347,1.50937977048934,4.57547999746548
"DRC",12,7,"with_conflict_mid",239,67,28.0334728033473,2.16223792445836,1.61052999875159,1,4.59347167126653
"DRC",12,8,"with_conflict_mid",264,87,32.9545454545455,2.22008499611629,1.1823176979026,1,4.81434580069686
"DRC",12,9,"with_conflict_mid",62,27,43.5483870967742,1,1,1,1
"DRC",12,10,"with_conflict_mid",78,35,44.8717948717949,1,1,1,1
"DRC",13,1,"with_conflict_mid",78,35,44.8717948717949,2.25059319890637,1.06606395776859,1,4.79699923706527
"DRC",13,2,"with_conflict_mid",32,18,56.25,1.37774208436017,1.06850592451065,1,2.73453884838539
"DRC",13,3,"with_conflict_mid",41,12,29.2682926829268,1.06693673777059,1.03507583028642,1,1.19759529050951
"DRC",13,4,"with_conflict_mid",41,12,29.2682926829268,1.06693673777059,1.03507583028642,1,1.19759529050951
"DRC",13,5,"with_conflict_mid",237,97,40.9282700421941,2.43708773097459,1.65533021698159,1.41590847168493,4.89240802562833
"DRC",13,6,"with_conflict_mid",54,14,25.9259259259259,1.23691375173526,1.23691375173526,1.15337426152314,1.32045324194739
"DRC",13,7,"with_conflict_mid",99,51,51.5151515151515,1.06302706157198,1,1,1.77475075712432
"DRC",13,8,"with_conflict_mid",11,1,9.09090909090909,NA,NA,NA,NA
"DRC",13,9,"with_conflict_mid",28,14,50,1,1,1,1
"DRC",13,10,"with_conflict_mid",9,4,44.4444444444444,1,1,1,1
"DRC",14,1,"with_conflict_mid",25,15,60,1.09829777769086,1.09829777769086,1,1.19659555538171
"DRC",14,2,"with_conflict_mid",11,3,27.2727272727273,1,1,1,1
"DRC",14,3,"with_conflict_mid",353,181,51.2747875354108,1.92436007886705,1.41590847168493,1,4.76447064652505
"DRC",14,4,"with_conflict_mid",12,8,66.6666666666667,1.44671997758514,1,1,2.34015993275543
"DRC",14,5,"with_conflict_mid",333,84,25.2252252252252,2.36322416856447,1.74814820212394,1,4.61196977535243
"DRC",14,6,"with_conflict_mid",57,17,29.8245614035088,2.0535903608017,2.20517856554978,1.12903789836312,2.69020774312952
"DRC",14,7,"with_conflict_mid",12,4,33.3333333333333,NA,NA,NA,NA
"DRC",14,8,"with_conflict_mid",238,88,36.9747899159664,1.85406213514469,1.16127921931985,1,4.69134396478457
"DRC",14,9,"with_conflict_mid",88,34,38.6363636363636,1.27896532899243,1,1,2.8478009071082
"DRC",14,10,"with_conflict_mid",256,115,44.921875,1.71169217642336,1.41590847168493,1,4.75755825769108
"DRC",15,1,"with_conflict_mid",14,6,42.8571428571429,NA,NA,NA,NA
"DRC",15,2,"with_conflict_mid",80,57,71.25,1.03790860285167,1,1,1.23153500131958
"DRC",15,3,"with_conflict_mid",99,43,43.4343434343434,1.36516887871258,1.03300667932555,1,3.18668553859216
"DRC",15,4,"with_conflict_mid",55,20,36.3636363636364,1.48459714420114,1.24094739219901,1,2.45649379240653
"DRC",15,5,"with_conflict_mid",55,34,61.8181818181818,1.18299450187938,1.0338984923515,1,2.04130584025129
"DRC",15,6,"with_conflict_mid",11,5,45.4545454545455,NA,NA,NA,NA
"DRC",15,7,"with_conflict_mid",12,3,25,NA,NA,NA,NA
"DRC",15,8,"with_conflict_mid",91,29,31.8681318681319,1.82684211277378,1.1970533006225,1,3.06750938072864
"DRC",15,9,"with_conflict_mid",115,42,36.5217391304348,2.18288045107379,1.47505591370924,1.06861054597301,4.10687044516636
"DRC",15,10,"with_conflict_mid",24,10,41.6666666666667,NA,NA,NA,NA
"DRC",16,1,"with_conflict_mid",10,3,30,NA,NA,NA,NA
"DRC",16,2,"with_conflict_mid",260,80,30.7692307692308,2.71080437502395,2.1296376946612,1,4.91010068382092
"DRC",16,3,"with_conflict_mid",19,13,68.4210526315789,1.56933160230845,1.32219528704094,1,2.38579951988442
"DRC",16,4,"with_conflict_mid",314,71,22.6114649681529,3.03415576587963,3.15062416290922,1,4.92368220296766
"DRC",16,5,"with_conflict_mid",314,71,22.6114649681529,3.03415576587963,3.15062416290922,1,4.92368220296766
"DRC",16,6,"with_conflict_mid",314,71,22.6114649681529,3.03415576587963,3.15062416290922,1,4.92368220296766
"DRC",16,7,"with_conflict_mid",22,6,27.2727272727273,1.07841801833829,1.07841801833829,1.07841801833829,1.07841801833829
"DRC",16,8,"with_conflict_mid",116,40,34.4827586206897,1.40695843365473,1,1,3.26728512151268
"DRC",16,9,"with_conflict_mid",254,81,31.8897637795276,1.87537414442675,1.14783577981272,1,4.79059643837346
"DRC",16,10,"with_conflict_mid",245,132,53.8775510204082,1.8401712582334,1.41590847168493,1,4.89865250521198
"DRC",17,1,"with_conflict_mid",312,64,20.5128205128205,2.26797248790346,1.18079167351692,1,4.83348521258117
"DRC",17,2,"with_conflict_mid",283,106,37.4558303886926,2.65742001657453,2.41383983882331,1,4.80877672848196
"DRC",17,3,"with_conflict_mid",139,72,51.7985611510791,1.98468467715235,1.74238254966234,1,4.33663791075175
"DRC",17,4,"with_conflict_mid",10,8,80,1,1,1,1
"DRC",17,5,"with_conflict_mid",30,19,63.3333333333333,1.07263642150974,1.08483700329722,1,1.1807980547497
"DRC",17,6,"with_conflict_mid",73,20,27.3972602739726,2.02463764451825,2.02463764451825,1,3.04927528903651
"DRC",17,7,"with_conflict_mid",13,3,23.0769230769231,1.19437815852905,1.19437815852905,1.19437815852905,1.19437815852905
"DRC",17,8,"with_conflict_mid",335,86,25.6716417910448,2.79790546869483,2.71429568766885,1,4.5115951870207
"DRC",17,9,"with_conflict_mid",5,0,0,NA,NA,NA,NA
"DRC",17,10,"with_conflict_mid",5,0,0,NA,NA,NA,NA
"DRC",18,1,"with_conflict_mid",334,66,19.7604790419162,2.31802525679348,1.85316994532878,1,4.85071805892379
"DRC",18,2,"with_conflict_mid",18,6,33.3333333333333,1,1,1,1
"DRC",18,3,"with_conflict_mid",12,2,16.6666666666667,1,1,1,1
"DRC",18,4,"with_conflict_mid",204,119,58.3333333333333,1.44889665667392,1.41590847168493,1,3.6241248519384
"DRC",18,5,"with_conflict_mid",75,48,64,1.5271161271768,1.33183771146919,1,2.77013381021261
"DRC",18,6,"with_conflict_mid",21,11,52.3809523809524,1.14926214349803,1,1,1.54813456340905
"DRC",18,7,"with_conflict_mid",182,87,47.8021978021978,1.75341365929869,1.48373259197866,1.06615239183233,4.02258670345222
"DRC",18,8,"with_conflict_mid",8,4,50,NA,NA,NA,NA
"DRC",18,9,"with_conflict_mid",11,3,27.2727272727273,NA,NA,NA,NA
"DRC",18,10,"with_conflict_mid",6,6,100,1,1,1,1
"DRC",19,1,"with_conflict_mid",314,110,35.031847133758,2.54884310246272,2.06357984602699,1,4.92140809267297
"DRC",19,2,"with_conflict_mid",255,134,52.5490196078431,1.63679646149232,1.41590847168493,1,3.15738577286191
"DRC",19,3,"with_conflict_mid",349,64,18.3381088825215,3.28156326367555,3.45386695746297,1,4.88022879205237
"DRC",19,4,"with_conflict_mid",390,153,39.2307692307692,1.89944556090768,1.41590847168493,1,4.66307755471601
"DRC",19,5,"with_conflict_mid",233,116,49.7854077253219,1.56394458005271,1.41590847168493,1,4.92360734458848
"DRC",19,6,"with_conflict_mid",89,40,44.9438202247191,1.01698196167303,1,1,1.08490980836513
"DRC",19,7,"with_conflict_mid",74,38,51.3513513513514,1.25994279480308,1.41590847168493,1,1.41590847168493
"DRC",19,8,"with_conflict_mid",27,12,44.4444444444444,1,1,1,1
"DRC",19,9,"with_conflict_mid",431,166,38.5150812064965,1.94290864819171,1.41590847168493,1,4.86498979759529
"DRC",19,10,"with_conflict_mid",257,90,35.0194552529183,1.84345469296033,1.41590847168493,1,4.53964709744639
"DRC",20,1,"with_conflict_mid",180,64,35.5555555555556,2.06165934477462,1.44036635027841,1,4.87305895366763
"DRC",20,2,"with_conflict_mid",33,15,45.4545454545455,1,1,1,1
"DRC",20,3,"with_conflict_mid",74,34,45.9459459459459,1.32672084979358,1,1,2.4958336312695
"DRC",20,4,"with_conflict_mid",103,34,33.0097087378641,3.04802735199505,3.44597024622443,1,4.90273246301492
