"scenario","line_group","week","q025","q25","q50","q75","q975"
"DRC","baseline",0.5,0,0,0,0,0
"DRC","baseline",1.5,0,0,0,0,0
"DRC","baseline",2.5,0,0,0,0,0.1
"DRC","baseline",3.5,0,0,0,0.1,0.3
"DRC","baseline",4.5,0,0.1,0.2,0.3,0.6025
"DRC","baseline",5.5,0,0.2,0.3,0.5,0.802500000000001
"DRC","baseline",6.5,0.1,0.375,0.5,0.8,1.2
"DRC","baseline",7.5,0.2,0.5,0.7,0.9,1.5
"DRC","baseline",8.5,0.2,0.7,0.9,1.2,1.9
"DRC","baseline",9.5,0.2975,0.8,1.05,1.4,2.2
"DRC","baseline",10.5,0.4,0.9,1.2,1.6,2.5
"DRC","baseline",11.5,0.4,0.9,1.3,1.7,2.7025
"DRC","baseline",12.5,0.6,1.1,1.65,2.125,3.2025
"DRC","baseline",13.5,0.6,1.2,1.7,2.2,3.105
"DRC","baseline",14.5,0.5975,1.2,1.75,2.3,3.4025
"DRC","baseline",15.5,0.8,1.375,1.9,2.5,3.705
"DRC","baseline",16.5,0.6,1.3,1.7,2.125,3.305
"DRC","baseline",17.5,0.4,1.1,1.5,2,3.205
"DRC","baseline",18.5,0.4,1,1.4,1.9,2.9075
"DRC","baseline",19.5,0.3,0.9,1.3,1.8,2.9025
"DRC","baseline",20.5,0.3,0.8,1.1,1.525,2.4
"DRC","baseline",21.5,0.2,0.7,1,1.3,2.4
"DRC","baseline",22.5,0.1,0.5,0.85,1.2,1.9
"DRC","baseline",23.5,0.1,0.4,0.7,1,1.7
"DRC","baseline",24.5,0.1,0.4,0.6,0.9,1.5025
"DRC","baseline",25.5,0,0.3,0.5,0.8,1.5025
"DRC","baseline",26.5,0,0.3,0.4,0.7,1.4
"DRC","baseline",27.5,0,0.2,0.4,0.6,1.1025
"DRC","baseline",28.5,0,0.2,0.3,0.6,1.1025
"DRC","baseline",29.5,0,0.1,0.3,0.5,1
"DRC","baseline",30.5,0,0.2,0.3,0.6,1
"DRC","baseline",31.5,0,0.2,0.5,0.7,1.5
"DRC","baseline",32.5,0,0.2,0.3,0.6,1.4
"DRC","baseline",33.5,0,0.1,0.3,0.5,1.1
"DRC","baseline",34.5,0,0.1,0.3,0.6,1.4
"DRC","baseline",35.5,0,0.2,0.4,0.7,1.4
"DRC","baseline",36.5,0,0.2,0.5,0.7,1.6025
"DRC","baseline",37.5,0,0.3,0.6,0.9,1.9025
"DRC","baseline",38.5,0,0.3,0.6,1.1,2.0025
"DRC","baseline",39.5,0,0.4,0.7,1.3,2.705
"DRC","baseline",40.5,0,0.5,0.9,1.5,3.1125
"DRC","baseline",41.5,0,0.6,1.05,1.7,3.8025
"DRC","baseline",42.5,0,0.8,1.3,2.1,4.1
"DRC","baseline",43.5,0.0975000000000001,1,1.5,2.6,5
"DRC","baseline",44.5,0,0.9,1.55,2.8,5.3075
"DRC","baseline",45.5,0.1,0.9,1.4,2.4,4.905
"DRC","baseline",46.5,0.1975,1.1,1.7,3,5.51
"DRC","baseline",47.5,0.0975000000000001,1.3,1.95,3.225,6.1025
"DRC","baseline",48.5,0.1,1.1,1.8,2.9,5.7
"DRC","baseline",49.5,0.0975000000000001,1.1,1.7,2.8,5.6025
"DRC","baseline",50.5,0.1,0.875,1.5,2.125,4.1
"DRC","baseline",51.5,0.1,0.8,1.4,2.025,4.0075
"DRC","baseline",52.5,0,0.7,1.2,1.8,3.7
"DRC","baseline",53.5,0,0.6,1.1,1.6,3.01
