"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted"
"DRC",1,"cov_conflict_hi",84,281471.594377844,283,1123,403253.444620155,25.2003561887801,30.1998288835506
"DRC",1,"cov_conflict_lo",19.1,78971.7969557254,131,322,121888.344168774,40.6832298136646,35.2097220663067
"DRC",1,"cov_conflict_mid",44,263832.21044055,238,678,399307.243024076,35.1032448377581,33.9275169559992
"DRC",1,"dpc_conflict_hi",33.8,208805.889255617,465,803,469068.995812442,57.9078455790785,55.4850371438516
"DRC",1,"dpc_conflict_lo",49.2,259327.706798444,595,1087,550495.979716939,54.7378104875805,52.8919889784139
"DRC",1,"dpc_conflict_mid",34.5,134766.040498523,456,801,291812.23764931,56.9288389513109,53.8175500849008
"DRC",1,"no_pep",59,324712.103171364,0,590,324712.103171364,0,0
"DRC",1,"optimistic_hi",11,42374.396673552,519,629,237249.674101903,82.5119236883943,82.1393235485114
"DRC",1,"optimistic_lo",11.9,47768.341497526,590,709,273809.578938161,83.2157968970381,82.5541744438699
"DRC",1,"optimistic_mid",4.9,17690.8247028869,316,365,129035.911770969,86.5753424657534,86.2899990707338
"DRC",1,"with_conflict_hi",63.8,302620.187295507,251,889,457929.128483902,28.2339707536558,33.9154972959651
"DRC",1,"with_conflict_lo",57.9,293315.864508558,218,797,415782.518033058,27.3525721455458,29.4544980158985
"DRC",1,"with_conflict_mid",53.4,282575.89526194,247,781,419199.132730594,31.6261203585147,32.5914885793568
"DRC",2,"cov_conflict_hi",79,60266.8153570419,36,115,91800.2808035505,31.304347826087,34.3500751528082
"DRC",2,"cov_conflict_lo",5,564.321923496767,3,8,943.712465627057,37.5,40.2019212364861
"DRC",2,"cov_conflict_mid",6,1536.31660143819,8,14,2118.78736357533,57.1428571428571,27.4907606185762
"DRC",2,"dpc_conflict_hi",1,162.452250347203,6,7,675.980573057586,85.7142857142857,75.9679113835474
"DRC",2,"dpc_conflict_lo",28,12249.1180858964,15,43,18302.1805290415,34.8837209302326,33.0729031633159
"DRC",2,"dpc_conflict_mid",5,666.911928453825,1,6,849.22372367894,16.6666666666667,21.4680525451313
"DRC",2,"no_pep",49.1,220731.427976388,0,491,220731.427976388,0,0
"DRC",2,"optimistic_hi",1,237.836861378271,6,7,1315.20233926749,85.7142857142857,81.9163292006662
"DRC",2,"optimistic_lo",6,2895.03030901652,36,42,17877.0736836129,85.7142857142857,83.8059049246395
"DRC",2,"optimistic_mid",18,9930.96417146094,80,98,55318.6457351337,81.6326530612245,82.0477091593845
"DRC",2,"with_conflict_hi",10,1441.81971716265,8,18,2419.89506135421,44.4444444444444,40.4180891895461
"DRC",2,"with_conflict_lo",38,25209.9678412115,18,56,35931.3049315003,32.1428571428571,29.8384294996466
"DRC",2,"with_conflict_mid",30,12105.26630922,23,53,21645.2685377371,43.3962264150943,44.0743075646519
"DRC",3,"cov_conflict_hi",52.4,306423.322205262,205,729,418132.143126631,28.1207133058985,26.7161524789874
"DRC",3,"cov_conflict_lo",70.6,288819.420697332,256,962,403440.100938306,26.6112266112266,28.4108297549979
