"scenario","particle_id","rep","arm","n_eligible","n_received","pct_received","dpc_mean","dpc_median","dpc_min","dpc_max"
"DRC",1,1,"with_conflict_mid",33,14,42.4242424242424,1.10421112515688,1,1,1.31263337547065
"DRC",1,2,"with_conflict_mid",36,26,72.2222222222222,1.96408753686765,1,1,3.89226261060295
"DRC",1,3,"with_conflict_mid",283,116,40.9893992932862,4.85141301686812,3.74588726405489,1,9.99336210469038
"DRC",1,4,"with_conflict_mid",325,120,36.9230769230769,4.65016765376384,3.49067271481534,1,9.97804568571173
"DRC",1,5,"with_conflict_mid",66,39,59.0909090909091,1.92585932407263,1.03794249157366,1,5.64684123793962
"DRC",1,6,"with_conflict_mid",53,30,56.6037735849057,1.87059519719975,1.33852047314802,1,6.31598874443626
"DRC",1,7,"with_conflict_mid",16,11,68.75,3.31388676930396,1.63894757516979,1,6.83952263095083
"DRC",1,8,"with_conflict_mid",324,97,29.9382716049383,5.06626965632911,2.96186943755137,1,9.92246691410303
"DRC",1,9,"with_conflict_mid",10,4,40,NA,NA,NA,NA
"DRC",1,10,"with_conflict_mid",9,3,33.3333333333333,NA,NA,NA,NA
"DRC",2,1,"with_conflict_mid",218,99,45.4128440366973,2.66633925440687,2.77428695312134,1,6.59413702462736
"DRC",2,2,"with_conflict_mid",16,10,62.5,2.48497673335648,1,1,5.45493020006944
"DRC",3,1,"with_conflict_mid",303,47,15.5115511551155,5.53496044378072,3.40043138881678,1,9.9916862464305
"DRC",3,2,"with_conflict_mid",34,14,41.1764705882353,1,1,1,1
"DRC",3,3,"with_conflict_mid",90,27,30,1.26240856682797,1,1,1.8669871854914
"DRC",3,4,"with_conflict_mid",108,45,41.6666666666667,3.14055355983035,1.86021647878068,1,9.48335815563065
"DRC",3,5,"with_conflict_mid",114,29,25.4385964912281,5.62535015453494,6.27977066347164,1.31166998144621,8.63018930975027
"DRC",3,6,"with_conflict_mid",27,10,37.037037037037,1,1,1,1
"DRC",3,7,"with_conflict_mid",84,42,50,1.10736593751282,1,1,1.32278056255688
