"scenario","particle_id","rep","arm","period","n_hcw_deaths","n_pep_died","n_prevented","n_counterfactual","pct_averted","n_recip_counterfactual","pct_averted_recipients","dpc_mean","dpc_median","n_pep_recipients"
"DRC",1,1,"with_conflict_mid","early (day 0-200)",12,1,10,22,45.4545454545455,11,90.9090909090909,1.31498679748937,1,3
"DRC",1,1,"with_conflict_mid","late (day 201+)",78,9,51,129,39.5348837209302,60,85,1.95619647614173,1.547810598239,14
"DRC",1,2,"with_conflict_mid","early (day 0-200)",9,0,8,17,47.0588235294118,8,100,NA,NA,0
"DRC",1,2,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",1,3,"with_conflict_mid","early (day 0-200)",19,1,39,58,67.2413793103448,40,97.5,1.47020686146709,1.17826127756259,3
"DRC",1,3,"with_conflict_mid","late (day 201+)",82,10,55,137,40.1459854014599,65,84.6153846153846,2.2297659735852,1.68288889324001,19
"DRC",1,4,"with_conflict_mid","early (day 0-200)",38,6,55,93,59.1397849462366,61,90.1639344262295,1.45491105000478,1.40427938554381,8
"DRC",1,4,"with_conflict_mid","late (day 201+)",125,4,14,139,10.0719424460432,18,77.7777777777778,4.38167907560616,4.59340671685695,7
"DRC",1,5,"with_conflict_mid","early (day 0-200)",21,2,33,54,61.1111111111111,35,94.2857142857143,1.2374256484112,1.00846161997963,6
"DRC",1,5,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",1,6,"with_conflict_mid","early (day 0-200)",18,6,19,37,51.3513513513514,25,76,1.22330425271672,1.07594967391096,9
"DRC",1,6,"with_conflict_mid","late (day 201+)",0,0,2,2,100,2,100,NA,NA,0
"DRC",1,7,"with_conflict_mid","early (day 0-200)",5,2,5,10,50,7,71.4285714285714,1.37711274520328,1.07230757636835,4
"DRC",1,7,"with_conflict_mid","late (day 201+)",1,0,1,2,50,1,100,2.62967496598301,2.62967496598301,1
"DRC",1,8,"with_conflict_mid","early (day 0-200)",21,3,23,44,52.2727272727273,26,88.4615384615385,1.08026197805025,1.04355179502105,3
"DRC",1,8,"with_conflict_mid","late (day 201+)",130,7,39,169,23.0769230769231,46,84.7826086956522,3.12039678561273,3.09563773202589,15
"DRC",1,9,"with_conflict_mid","early (day 0-200)",2,0,4,6,66.6666666666667,4,100,NA,NA,0
"DRC",1,9,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",1,10,"with_conflict_mid","early (day 0-200)",4,0,3,7,42.8571428571429,3,100,NA,NA,0
"DRC",1,10,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",2,1,"with_conflict_mid","early (day 0-200)",36,3,38,74,51.3513513513514,41,92.6829268292683,1.28482665015758,1.13087749818697,7
"DRC",2,1,"with_conflict_mid","late (day 201+)",9,1,3,12,25,4,75,3.49978521389609,3.49978521389609,1
"DRC",3,1,"with_conflict_mid","early (day 0-200)",11,1,5,16,31.25,6,83.3333333333333,1.24173860654181,1,3
"DRC",3,1,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",3,2,"with_conflict_mid","early (day 0-200)",13,2,18,31,58.0645161290323,20,90,1.05954023568084,1,5
"DRC",3,2,"with_conflict_mid","late (day 201+)",11,2,3,14,21.4285714285714,5,60,3.06232436587691,3.06232436587691,2
"DRC",3,3,"with_conflict_mid","early (day 0-200)",13,2,18,31,58.0645161290323,20,90,1.05954023568084,1,5
"DRC",3,3,"with_conflict_mid","late (day 201+)",11,2,3,14,21.4285714285714,5,60,3.06232436587691,3.06232436587691,2
"DRC",3,4,"with_conflict_mid","early (day 0-200)",16,2,28,44,63.6363636363636,30,93.3333333333333,1.09663763997131,1.09529566420805,4
"DRC",3,4,"with_conflict_mid","late (day 201+)",31,3,10,41,24.390243902439,13,76.9230769230769,2.39686371286846,1.62250678164351,3
"DRC",3,5,"with_conflict_mid","early (day 0-200)",10,1,19,29,65.5172413793103,20,95,1.52452983523295,1.52452983523295,2
"DRC",3,5,"with_conflict_mid","late (day 201+)",39,1,6,45,13.3333333333333,7,85.7142857142857,3.20729995344255,3.20729995344255,2
"DRC",3,6,"with_conflict_mid","early (day 0-200)",9,0,9,18,50,9,100,1,1,1
"DRC",3,6,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",3,7,"with_conflict_mid","early (day 0-200)",20,3,31,51,60.7843137254902,34,91.1764705882353,1.09771093549312,1.12958573919794,9
"DRC",3,7,"with_conflict_mid","late (day 201+)",1,0,0,1,0,0,NA,NA,NA,0
"DRC",3,8,"with_conflict_mid","early (day 0-200)",9,0,9,18,50,9,100,NA,NA,0
"DRC",3,8,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",3,9,"with_conflict_mid","early (day 0-200)",11,1,27,38,71.0526315789474,28,96.4285714285714,1.25163640281241,1.21828498624053,3
"DRC",3,9,"with_conflict_mid","late (day 201+)",25,1,6,31,19.3548387096774,7,85.7142857142857,2.59753692616472,1.88806160223971,3
"DRC",3,10,"with_conflict_mid","early (day 0-200)",7,0,1,8,12.5,1,100,NA,NA,0
"DRC",3,10,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",4,1,"with_conflict_mid","early (day 0-200)",4,1,6,10,60,7,85.7142857142857,1,1,1
"DRC",4,1,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",5,1,"with_conflict_mid","early (day 0-200)",30,4,56,86,65.1162790697674,60,93.3333333333333,1.1805794055812,1,7
"DRC",5,1,"with_conflict_mid","late (day 201+)",35,1,17,52,32.6923076923077,18,94.4444444444444,3.22428946300442,3.10529748147864,5
"DRC",5,2,"with_conflict_mid","early (day 0-200)",7,0,7,14,50,7,100,1,1,1
"DRC",5,2,"with_conflict_mid","late (day 201+)",7,1,2,9,22.2222222222222,3,66.6666666666667,2.7728805630552,2.7728805630552,2
