"scenario","obv_efficacy","obv_coverage","median_deaths_averted","median_days_lost_averted","coverage_label","efficacy_label"
"DRC",0.5,0.1,4.76575121163166,4.79650139357907,"10%","50%"
"DRC",0.5,0.3,15.2066115702479,15.552274617331,"30%","50%"
"DRC",0.5,0.5,24.8898678414097,26.364878829634,"50%","50%"
"DRC",0.5,0.7,35.1351351351351,38.9908003884421,"70%","50%"
"DRC",0.5,0.9,44.9324324324324,52.8611652126528,"90%","50%"
"DRC",0.6,0.1,5.85858585858586,5.75497754134935,"10%","60%"
"DRC",0.6,0.3,17.5050301810865,17.99326197095,"30%","60%"
"DRC",0.6,0.5,30.0618921308576,31.2780397636794,"50%","60%"
"DRC",0.6,0.7,41.9243986254296,45.9022371361998,"70%","60%"
"DRC",0.6,0.9,53.9592760180995,60.6549615902313,"90%","60%"
"DRC",0.7,0.1,6.85413005272408,6.73932657562698,"10%","70%"
"DRC",0.7,0.3,20.8191126279863,20.7087970068046,"30%","70%"
"DRC",0.7,0.5,34.9431818181818,35.8741963886255,"50%","70%"
"DRC",0.7,0.7,48.4784889821616,51.4539592696142,"70%","70%"
"DRC",0.7,0.9,63.2892804698972,68.2949449348668,"90%","70%"
"DRC",0.8,0.1,8.05998125585754,7.63903630522599,"10%","80%"
"DRC",0.8,0.3,24,23.3649186005331,"30%","80%"
"DRC",0.8,0.5,40.0966183574879,40.443339667,"50%","80%"
"DRC",0.8,0.7,55.810147299509,57.3272608458629,"70%","80%"
"DRC",0.8,0.9,71.8446601941748,74.9185047333384,"90%","80%"
"DRC",0.9,0.1,9.00323060401961,8.75252080293961,"10%","90%"
"DRC",0.9,0.3,26.9776876267748,26.2396285038512,"30%","90%"
"DRC",0.9,0.5,44.7136563876652,44.0271621535098,"50%","90%"
"DRC",0.9,0.7,63.3083183682884,61.8914384736605,"70%","90%"
"DRC",0.9,0.9,81.0924369747899,80.2378939777869,"90%","90%"
"WestAfrica",0.5,0.1,5.01575630252101,4.87521348182006,"10%","50%"
"WestAfrica",0.5,0.3,15.0787004520323,15.2531907017382,"30%","50%"
"WestAfrica",0.5,0.5,24.896158763629,26.3814082659577,"50%","50%"
"WestAfrica",0.5,0.7,35.1329001772002,38.7089978775107,"70%","50%"
"WestAfrica",0.5,0.9,44.9573023668975,52.4130520232839,"90%","50%"
"WestAfrica",0.6,0.1,6.05828220858896,5.82492982069432,"10%","60%"
"WestAfrica",0.6,0.3,18.0417932869434,17.91583364665,"30%","60%"
"WestAfrica",0.6,0.5,30.0311203319502,31.0070268950646,"50%","60%"
"WestAfrica",0.6,0.7,42.0602388166102,44.8738452655065,"70%","60%"
"WestAfrica",0.6,0.9,53.9968297101449,60.1996135349231,"90%","60%"
"WestAfrica",0.7,0.1,7.09910804346681,6.77712705694484,"10%","70%"
"WestAfrica",0.7,0.3,20.9308342411923,20.5908929737274,"30%","70%"
"WestAfrica",0.7,0.5,34.9361249112846,35.2324285310139,"50%","70%"
"WestAfrica",0.7,0.7,49.0695998769034,50.8230923941339,"70%","70%"
"WestAfrica",0.7,0.9,63.0611872274384,67.3218464427524,"90%","70%"
"WestAfrica",0.8,0.1,7.99354886001514,7.64507317287486,"10%","80%"
"WestAfrica",0.8,0.3,23.9972005749994,23.2909711153353,"30%","80%"
"WestAfrica",0.8,0.5,39.9504600141543,39.6145768385663,"50%","80%"
"WestAfrica",0.8,0.7,55.9302325581395,56.3977593224622,"70%","80%"
"WestAfrica",0.8,0.9,72.1132897603486,73.9313074900324,"90%","80%"
"WestAfrica",0.9,0.1,8.98265216112908,8.5924955891677,"10%","90%"
"WestAfrica",0.9,0.3,26.9713583858234,26.0869027443661,"30%","90%"
"WestAfrica",0.9,0.5,44.9190938511327,43.6488311343057,"50%","90%"
"WestAfrica",0.9,0.7,62.8505476346184,61.5381552104949,"70%","90%"
"WestAfrica",0.9,0.9,80.954269098599,79.9408616196721,"90%","90%"
