"scenario","particle_id","rep","arm","n_hcw_deaths","hcw_days_lost","counterfactual_hcw","prevented_hcw","baseline_days_lost","obv_efficacy","obv_coverage"
"DRC",1,1,"cov10_obv50",174,89561.0456190417,184,10,93798.1334181501,0.5,0.1
"DRC",1,2,"cov10_obv50",12,1982.63004637868,13,1,2278.95698095142,0.5,0.1
"DRC",1,3,"cov10_obv50",115,52164.5877140099,122,7,55399.6026119278,0.5,0.1
"DRC",1,4,"cov10_obv50",115,52164.5877140099,122,7,55399.6026119278,0.5,0.1
"DRC",1,5,"cov10_obv50",28,4364.57283691072,28,0,4420.50349176755,0.5,0.1
"DRC",1,6,"cov10_obv50",37,8806.55638132771,40,3,9273.83249130278,0.5,0.1
"DRC",1,7,"cov10_obv50",65,44442.8644563708,68,3,45953.329396691,0.5,0.1
"DRC",1,8,"cov10_obv50",93,50513.0103163022,97,4,53010.8078366405,0.5,0.1
"DRC",1,9,"cov10_obv50",17,2191.57464154435,17,0,2333.39083536459,0.5,0.1
"DRC",1,10,"cov10_obv50",17,2191.57464154435,17,0,2333.39083536459,0.5,0.1
"DRC",2,1,"cov10_obv50",33,14219.0883890404,34,1,15036.7503583726,0.5,0.1
"DRC",2,2,"cov10_obv50",72,40501.882256286,78,6,42256.2890177874,0.5,0.1
"DRC",2,3,"cov10_obv50",17,6551.40891933041,17,0,6551.40891933041,0.5,0.1
"DRC",2,4,"cov10_obv50",3,529.749882542457,3,0,529.749882542457,0.5,0.1
"DRC",2,5,"cov10_obv50",42,19705.770789695,44,2,20876.9139198198,0.5,0.1
"DRC",2,6,"cov10_obv50",117,76617.2556318349,123,6,79263.7480824532,0.5,0.1
"DRC",2,7,"cov10_obv50",131,87294.977059725,136,5,91477.3915060958,0.5,0.1
"DRC",2,8,"cov10_obv50",49,11759.277927038,50,1,12363.4528054886,0.5,0.1
"DRC",2,9,"cov10_obv50",2,222.452471625465,2,0,222.452471625465,0.5,0.1
"DRC",2,10,"cov10_obv50",43,8665.47515656377,46,3,9278.48463804814,0.5,0.1
"DRC",3,1,"cov10_obv50",194,41686.3503949317,206,12,44143.1274865689,0.5,0.1
"DRC",4,1,"cov10_obv50",72,37852.5264139295,75,3,38998.9578198336,0.5,0.1
"DRC",5,1,"cov10_obv50",135,118844.227778419,145,10,125480.576294731,0.5,0.1
"DRC",5,2,"cov10_obv50",23,7679.50098320449,23,0,7940.78655462445,0.5,0.1
"DRC",5,3,"cov10_obv50",14,3342.79223759942,15,1,3457.89578182477,0.5,0.1
"DRC",5,4,"cov10_obv50",38,20382.6948979612,39,1,21299.2375821472,0.5,0.1
"DRC",5,5,"cov10_obv50",3,303.864095232226,3,0,303.864095232226,0.5,0.1
"DRC",5,6,"cov10_obv50",53,25315.7347654637,55,2,26701.9435763586,0.5,0.1
"DRC",5,7,"cov10_obv50",54,27829.6328077555,56,2,28816.4341689244,0.5,0.1
"DRC",5,8,"cov10_obv50",14,2743.57768950397,15,1,3110.78131015396,0.5,0.1
"DRC",5,9,"cov10_obv50",204,55050.8735054741,213,9,57797.7858572059,0.5,0.1
"DRC",5,10,"cov10_obv50",2,382.883216503277,3,1,437.05120473184,0.5,0.1
"DRC",6,1,"cov10_obv50",87,56267.6645696958,94,7,59486.6855668035,0.5,0.1
"DRC",6,2,"cov10_obv50",119,62778.0138165649,127,8,66458.2501523861,0.5,0.1
"DRC",6,3,"cov10_obv50",182,123078.721146462,192,10,126892.068089421,0.5,0.1
"DRC",6,4,"cov10_obv50",179,45986.6546104043,186,7,47898.952477419,0.5,0.1
"DRC",6,5,"cov10_obv50",179,45986.6546104043,186,7,47898.952477419,0.5,0.1
"DRC",6,6,"cov10_obv50",169,39249.6700970695,175,6,41491.5377302041,0.5,0.1
"DRC",6,7,"cov10_obv50",47,23946.4267378808,51,4,25561.9766762819,0.5,0.1
"DRC",6,8,"cov10_obv50",206,66808.6187842918,215,9,70474.0781479801,0.5,0.1
"DRC",6,9,"cov10_obv50",16,2453.6505511606,17,1,2483.32240818892,0.5,0.1
"DRC",6,10,"cov10_obv50",30,7412.33676430253,30,0,7412.33676430253,0.5,0.1
"DRC",7,1,"cov10_obv50",9,2152.83470957972,10,1,2278.73823227238,0.5,0.1
"DRC",7,2,"cov10_obv50",16,3114.52788031185,16,0,3221.91528808449,0.5,0.1
"DRC",7,3,"cov10_obv50",16,3114.52788031185,16,0,3221.91528808449,0.5,0.1
"DRC",7,4,"cov10_obv50",16,3114.52788031185,16,0,3221.91528808449,0.5,0.1
"DRC",7,5,"cov10_obv50",91,60140.1043452976,92,1,61980.9062084656,0.5,0.1
"DRC",7,6,"cov10_obv50",11,1867.9146599034,12,1,1945.14536377167,0.5,0.1
"DRC",7,7,"cov10_obv50",18,3375.6119770666,19,1,3493.21897216194,0.5,0.1
"DRC",7,8,"cov10_obv50",198,130747.873101697,206,8,135891.110445106,0.5,0.1
"DRC",7,9,"cov10_obv50",198,130747.873101697,206,8,135891.110445106,0.5,0.1
"DRC",7,10,"cov10_obv50",57,20219.8247378822,61,4,21017.0816193096,0.5,0.1
"DRC",8,1,"cov10_obv50",3,829.064954546727,3,0,829.064954546727,0.5,0.1
"DRC",9,1,"cov10_obv50",16,3795.32764613632,16,0,3795.32764613632,0.5,0.1
"DRC",9,2,"cov10_obv50",49,19571.0655926941,52,3,20224.6437535632,0.5,0.1
"DRC",9,3,"cov10_obv50",5,547.141782639761,6,1,639.892796025411,0.5,0.1
"DRC",9,4,"cov10_obv50",85,41921.5562966685,89,4,44743.5058340278,0.5,0.1
"DRC",9,5,"cov10_obv50",63,27686.0838931635,65,2,28751.6303885628,0.5,0.1
"DRC",9,6,"cov10_obv50",35,17763.8740059735,37,2,18730.9526768242,0.5,0.1
"DRC",9,7,"cov10_obv50",106,85035.4431886729,113,7,88938.3076900753,0.5,0.1
"DRC",9,8,"cov10_obv50",11,1483.05038863259,11,0,1483.05038863259,0.5,0.1
"DRC",9,9,"cov10_obv50",17,3584.51484084672,19,2,3918.21828095215,0.5,0.1
"DRC",9,10,"cov10_obv50",13,2130.11019538323,13,0,2130.11019538323,0.5,0.1
"DRC",10,1,"cov10_obv50",83,52605.4765021601,85,2,54331.4223016332,0.5,0.1
"DRC",10,2,"cov10_obv50",55,25154.9159170301,57,2,25895.8562920374,0.5,0.1
"DRC",10,3,"cov10_obv50",93,41978.3866741949,97,4,44742.4552134457,0.5,0.1
"DRC",10,4,"cov10_obv50",93,41978.3866741949,97,4,44742.4552134457,0.5,0.1
"DRC",10,5,"cov10_obv50",14,2676.01394317296,15,1,2761.79916920049,0.5,0.1
"DRC",10,6,"cov10_obv50",211,68519.6004510174,223,12,72462.4882347728,0.5,0.1
"DRC",10,7,"cov10_obv50",26,8086.01772974197,27,1,8140.14232494597,0.5,0.1
"DRC",10,8,"cov10_obv50",174,38546.6350517701,185,11,39869.2805090329,0.5,0.1
"DRC",10,9,"cov10_obv50",215,45118.8921133397,226,11,46730.1530213616,0.5,0.1
"DRC",10,10,"cov10_obv50",215,45118.8921133397,226,11,46730.1530213616,0.5,0.1
"DRC",11,1,"cov10_obv50",1,19.0157036529474,1,0,19.0157036529474,0.5,0.1
"DRC",11,2,"cov10_obv50",8,917.461782206581,8,0,917.461782206581,0.5,0.1
"DRC",11,3,"cov10_obv50",11,2192.58882556298,12,1,2269.66489319574,0.5,0.1
"DRC",11,4,"cov10_obv50",18,7307.40420603767,18,0,7307.40420603767,0.5,0.1
"DRC",11,5,"cov10_obv50",29,5500.20316806284,30,1,5953.7198707855,0.5,0.1
"DRC",11,6,"cov10_obv50",49,28965.336643006,49,0,28965.336643006,0.5,0.1
