"scenario","particle_id","rep","eff_name","efficacy","doses_B","n_prevented_hcw"
"DRC",1,1,"obv_20",0.2,366,63
"DRC",1,2,"obv_20",0.2,62,12
"DRC",1,3,"obv_20",0.2,404,79
"DRC",1,4,"obv_20",0.2,14,2
"DRC",1,5,"obv_20",0.2,206,43
"DRC",1,6,"obv_20",0.2,137,37
"DRC",1,7,"obv_20",0.2,346,72
"DRC",1,8,"obv_20",0.2,146,29
"DRC",1,9,"obv_20",0.2,38,12
"DRC",1,10,"obv_20",0.2,250,48
"DRC",2,1,"obv_20",0.2,23,4
"DRC",2,2,"obv_20",0.2,20,5
"DRC",2,3,"obv_20",0.2,31,4
"DRC",2,4,"obv_20",0.2,18,3
"DRC",2,5,"obv_20",0.2,70,10
"DRC",2,6,"obv_20",0.2,70,10
"DRC",2,7,"obv_20",0.2,46,7
"DRC",2,8,"obv_20",0.2,37,9
"DRC",2,9,"obv_20",0.2,23,4
"DRC",2,10,"obv_20",0.2,23,6
"DRC",3,1,"obv_20",0.2,35,6
"DRC",3,2,"obv_20",0.2,5,0
"DRC",3,3,"obv_20",0.2,357,64
"DRC",3,4,"obv_20",0.2,3,1
"DRC",3,5,"obv_20",0.2,67,13
"DRC",3,6,"obv_20",0.2,0,0
"DRC",3,7,"obv_20",0.2,0,0
"DRC",3,8,"obv_20",0.2,154,40
"DRC",3,9,"obv_20",0.2,7,1
"DRC",3,10,"obv_20",0.2,10,1
"DRC",4,1,"obv_20",0.2,3,0
"DRC",4,2,"obv_20",0.2,102,27
"DRC",4,3,"obv_20",0.2,74,13
"DRC",4,4,"obv_20",0.2,358,84
"DRC",4,5,"obv_20",0.2,144,34
"DRC",4,6,"obv_20",0.2,339,63
"DRC",4,7,"obv_20",0.2,369,76
"DRC",4,8,"obv_20",0.2,14,2
"DRC",4,9,"obv_20",0.2,42,7
"DRC",4,10,"obv_20",0.2,15,3
"DRC",5,1,"obv_20",0.2,16,6
"DRC",5,2,"obv_20",0.2,4,0
"DRC",5,3,"obv_20",0.2,4,0
"DRC",5,4,"obv_20",0.2,79,22
"DRC",5,5,"obv_20",0.2,57,8
"DRC",5,6,"obv_20",0.2,14,4
"DRC",5,7,"obv_20",0.2,166,29
"DRC",5,8,"obv_20",0.2,6,2
"DRC",5,9,"obv_20",0.2,10,1
"DRC",5,10,"obv_20",0.2,38,10
"DRC",6,1,"obv_20",0.2,37,7
"DRC",6,2,"obv_20",0.2,35,4
"DRC",6,3,"obv_20",0.2,19,4
"DRC",6,4,"obv_20",0.2,75,9
"DRC",6,5,"obv_20",0.2,211,39
"DRC",6,6,"obv_20",0.2,34,2
"DRC",6,7,"obv_20",0.2,34,2
"DRC",6,8,"obv_20",0.2,71,12
"DRC",6,9,"obv_20",0.2,313,64
"DRC",6,10,"obv_20",0.2,31,6
"DRC",7,1,"obv_20",0.2,50,7
"DRC",7,2,"obv_20",0.2,64,11
"DRC",7,3,"obv_20",0.2,14,0
"DRC",7,4,"obv_20",0.2,18,3
"DRC",7,5,"obv_20",0.2,37,10
"DRC",7,6,"obv_20",0.2,21,6
"DRC",7,7,"obv_20",0.2,37,9
"DRC",7,8,"obv_20",0.2,40,8
"DRC",7,9,"obv_20",0.2,85,14
"DRC",7,10,"obv_20",0.2,2,0
"DRC",8,1,"obv_20",0.2,271,63
"DRC",8,2,"obv_20",0.2,116,21
"DRC",8,3,"obv_20",0.2,108,20
"DRC",8,4,"obv_20",0.2,15,2
"DRC",8,5,"obv_20",0.2,28,8
"DRC",8,6,"obv_20",0.2,6,2
"DRC",8,7,"obv_20",0.2,26,7
"DRC",8,8,"obv_20",0.2,125,28
"DRC",8,9,"obv_20",0.2,336,68
"DRC",8,10,"obv_20",0.2,257,51
"DRC",9,1,"obv_20",0.2,19,3
"DRC",9,2,"obv_20",0.2,3,0
"DRC",9,3,"obv_20",0.2,21,3
"DRC",9,4,"obv_20",0.2,198,51
"DRC",9,5,"obv_20",0.2,39,7
"DRC",9,6,"obv_20",0.2,123,20
"DRC",9,7,"obv_20",0.2,315,67
"DRC",9,8,"obv_20",0.2,68,14
"DRC",9,9,"obv_20",0.2,20,2
"DRC",9,10,"obv_20",0.2,24,9
"DRC",10,1,"obv_20",0.2,23,4
"DRC",10,2,"obv_20",0.2,68,14
"DRC",10,3,"obv_20",0.2,50,7
"DRC",10,4,"obv_20",0.2,21,5
"DRC",10,5,"obv_20",0.2,363,83
"DRC",10,6,"obv_20",0.2,147,28
"DRC",10,7,"obv_20",0.2,40,9
"DRC",10,8,"obv_20",0.2,41,8
"DRC",10,9,"obv_20",0.2,26,9
"DRC",10,10,"obv_20",0.2,384,62
"DRC",11,1,"obv_20",0.2,96,22
"DRC",11,2,"obv_20",0.2,353,64
"DRC",11,3,"obv_20",0.2,154,34
"DRC",11,4,"obv_20",0.2,258,58
"DRC",11,5,"obv_20",0.2,113,23
"DRC",11,6,"obv_20",0.2,17,1
"DRC",11,7,"obv_20",0.2,77,16
"DRC",11,8,"obv_20",0.2,13,3
"DRC",11,9,"obv_20",0.2,251,62
"DRC",11,10,"obv_20",0.2,9,0
"DRC",12,1,"obv_20",0.2,132,27
"DRC",12,2,"obv_20",0.2,33,6
"DRC",12,3,"obv_20",0.2,17,3
"DRC",12,4,"obv_20",0.2,26,9
"DRC",12,5,"obv_20",0.2,190,46
"DRC",12,6,"obv_20",0.2,362,85
"DRC",12,7,"obv_20",0.2,24,5
"DRC",12,8,"obv_20",0.2,154,28
"DRC",12,9,"obv_20",0.2,8,1
"DRC",12,10,"obv_20",0.2,38,9
"DRC",13,1,"obv_20",0.2,309,48
"DRC",13,2,"obv_20",0.2,84,14
"DRC",13,3,"obv_20",0.2,313,61
"DRC",13,4,"obv_20",0.2,150,31
"DRC",13,5,"obv_20",0.2,24,6
"DRC",13,6,"obv_20",0.2,32,12
"DRC",13,7,"obv_20",0.2,267,52
"DRC",13,8,"obv_20",0.2,27,6
"DRC",13,9,"obv_20",0.2,65,10
"DRC",13,10,"obv_20",0.2,3,1
"DRC",14,1,"obv_20",0.2,103,24
"DRC",14,2,"obv_20",0.2,20,1
"DRC",14,3,"obv_20",0.2,25,6
"DRC",14,4,"obv_20",0.2,14,3
"DRC",14,5,"obv_20",0.2,335,77
"DRC",14,6,"obv_20",0.2,17,5
"DRC",14,7,"obv_20",0.2,355,77
"DRC",14,8,"obv_20",0.2,12,4
"DRC",14,9,"obv_20",0.2,76,11
"DRC",14,10,"obv_20",0.2,101,17
"DRC",15,1,"obv_20",0.2,25,11
"DRC",15,2,"obv_20",0.2,36,6
"DRC",15,3,"obv_20",0.2,368,84
"DRC",15,4,"obv_20",0.2,25,5
"DRC",15,5,"obv_20",0.2,101,24
"DRC",15,6,"obv_20",0.2,237,51
"DRC",15,7,"obv_20",0.2,3,0
"DRC",15,8,"obv_20",0.2,126,20
"DRC",15,9,"obv_20",0.2,339,69
"DRC",15,10,"obv_20",0.2,38,9
"DRC",16,1,"obv_20",0.2,61,15
"DRC",16,2,"obv_20",0.2,279,51
"DRC",16,3,"obv_20",0.2,302,57
"DRC",16,4,"obv_20",0.2,271,64
"DRC",16,5,"obv_20",0.2,1,0
"DRC",16,6,"obv_20",0.2,1,0
"DRC",16,7,"obv_20",0.2,7,0
"DRC",16,8,"obv_20",0.2,286,52
"DRC",16,9,"obv_20",0.2,45,8
"DRC",16,10,"obv_20",0.2,56,8
"DRC",17,1,"obv_20",0.2,350,54
"DRC",17,2,"obv_20",0.2,24,3
"DRC",17,3,"obv_20",0.2,73,11
"DRC",17,4,"obv_20",0.2,362,88
"DRC",17,5,"obv_20",0.2,10,2
"DRC",17,6,"obv_20",0.2,53,7
"DRC",17,7,"obv_20",0.2,330,72
"DRC",17,8,"obv_20",0.2,142,22
"DRC",17,9,"obv_20",0.2,333,76
"DRC",17,10,"obv_20",0.2,339,64
"DRC",18,1,"obv_20",0.2,9,4
"DRC",18,2,"obv_20",0.2,40,6
"DRC",18,3,"obv_20",0.2,40,6
"DRC",18,4,"obv_20",0.2,136,26
"DRC",18,5,"obv_20",0.2,32,4
"DRC",18,6,"obv_20",0.2,338,54
"DRC",18,7,"obv_20",0.2,81,15
"DRC",18,8,"obv_20",0.2,22,2
"DRC",18,9,"obv_20",0.2,22,2
"DRC",18,10,"obv_20",0.2,4,1
"DRC",19,1,"obv_20",0.2,366,83
"DRC",19,2,"obv_20",0.2,25,3
"DRC",19,3,"obv_20",0.2,174,35
"DRC",19,4,"obv_20",0.2,337,69
"DRC",19,5,"obv_20",0.2,6,1
"DRC",19,6,"obv_20",0.2,52,13
"DRC",19,7,"obv_20",0.2,383,74
"DRC",19,8,"obv_20",0.2,410,81
"DRC",19,9,"obv_20",0.2,12,5
"DRC",19,10,"obv_20",0.2,22,5
"DRC",20,1,"obv_20",0.2,387,83
"DRC",20,2,"obv_20",0.2,346,68
"DRC",20,3,"obv_20",0.2,6,3
"DRC",20,4,"obv_20",0.2,23,5
"DRC",20,5,"obv_20",0.2,71,14
"DRC",20,6,"obv_20",0.2,220,48
"DRC",20,7,"obv_20",0.2,8,2
"DRC",20,8,"obv_20",0.2,14,4
"DRC",20,9,"obv_20",0.2,17,3
"DRC",20,10,"obv_20",0.2,350,74
"DRC",21,1,"obv_20",0.2,74,14
"DRC",21,2,"obv_20",0.2,308,62
"DRC",21,3,"obv_20",0.2,38,6
"DRC",21,4,"obv_20",0.2,12,3
"DRC",21,5,"obv_20",0.2,27,4
"DRC",21,6,"obv_20",0.2,202,51
"DRC",21,7,"obv_20",0.2,26,4
"DRC",21,8,"obv_20",0.2,37,7
"DRC",21,9,"obv_20",0.2,162,36
"DRC",21,10,"obv_20",0.2,23,1
"DRC",22,1,"obv_20",0.2,289,57
"DRC",22,2,"obv_20",0.2,154,31
"DRC",22,3,"obv_20",0.2,9,3
"DRC",22,4,"obv_20",0.2,10,4
"DRC",22,5,"obv_20",0.2,83,18
"DRC",22,6,"obv_20",0.2,83,18
"DRC",22,7,"obv_20",0.2,86,15
"DRC",22,8,"obv_20",0.2,138,36
"DRC",22,9,"obv_20",0.2,337,71
"DRC",22,10,"obv_20",0.2,387,85
"DRC",23,1,"obv_20",0.2,398,64
"DRC",23,2,"obv_20",0.2,38,7
"DRC",23,3,"obv_20",0.2,108,22
"DRC",23,4,"obv_20",0.2,421,103
"DRC",23,5,"obv_20",0.2,385,71
"DRC",23,6,"obv_20",0.2,356,64
"DRC",23,7,"obv_20",0.2,8,3
"DRC",23,8,"obv_20",0.2,9,1
"DRC",23,9,"obv_20",0.2,24,3
"DRC",23,10,"obv_20",0.2,44,10
"DRC",24,1,"obv_20",0.2,30,8
"DRC",24,2,"obv_20",0.2,280,51
"DRC",24,3,"obv_20",0.2,4,1
"DRC",24,4,"obv_20",0.2,54,6
"DRC",24,5,"obv_20",0.2,131,29
"DRC",24,6,"obv_20",0.2,98,17
"DRC",24,7,"obv_20",0.2,199,33
"DRC",24,8,"obv_20",0.2,109,13
"DRC",24,9,"obv_20",0.2,201,34
"DRC",24,10,"obv_20",0.2,35,3
"DRC",25,1,"obv_20",0.2,323,73
