"scenario","particle_id","eff_name","efficacy","doses_B","n_prevented_hcw","ppe_efficacy","averted","base_pool","dda_B","dda_A","scenario_label"
"DRC",1,"obv_20",0.2,196.9,39.7,0.454760911206371,7.94,361.125979495806,495.969773299748,909.637227949133,"DRC (Middle, PlusPlus)"
"DRC",1,"obv_30",0.3,93.2,29.5,0.454760911206371,8.85,170.93418633321,210.621468926554,386.29194651573,"DRC (Middle, PlusPlus)"
"DRC",1,"obv_40",0.4,46.4,18.1,0.454760911206371,7.24,85.1002816079502,128.17679558011,235.083650850691,"DRC (Middle, PlusPlus)"
"DRC",1,"obv_50",0.5,97.5,50,0.454760911206371,25,178.820634844292,78,143.056507875434,"DRC (Middle, PlusPlus)"
"DRC",1,"obv_60",0.6,144.4,84.6,0.454760911206371,50.76,264.83794534888,56.8951930654058,104.349072241481,"DRC (Middle, PlusPlus)"
"DRC",1,"obv_70",0.7,106.1,75.1,0.454760911206371,52.57,194.593531866455,40.3652273159597,74.0321597361443,"DRC (Middle, PlusPlus)"
"DRC",1,"obv_80",0.8,75,58.7,0.454760911206371,46.96,137.554334495609,31.9420783645656,58.5836177579255,"DRC (Middle, PlusPlus)"
"DRC",2,"obv_20",0.2,36.1,6.2,0.335177951458708,1.24,54.3002448237212,582.258064516129,875.810400382599,"DRC (Middle, PlusPlus)"
"DRC",2,"obv_30",0.3,82.4,23.5,0.335177951458708,7.05,123.94294109348,233.758865248227,351.611180407035,"DRC (Middle, PlusPlus)"
"DRC",2,"obv_40",0.4,86.5,36.2,0.335177951458708,14.48,130.110004910024,119.475138121547,179.709951533183,"DRC (Middle, PlusPlus)"
"DRC",2,"obv_50",0.5,120,59.2,0.335177951458708,29.6,180.499428776913,81.0810810810811,121.959073497914,"DRC (Middle, PlusPlus)"
"DRC",2,"obv_60",0.6,72.9,44.9,0.335177951458708,26.94,109.653402981974,54.1202672605791,81.4056443815697,"DRC (Middle, PlusPlus)"
"DRC",2,"obv_70",0.7,75.4,52.3,0.335177951458708,36.61,113.41380774816,41.1909314394974,61.9578299634854,"DRC (Middle, PlusPlus)"
"DRC",2,"obv_80",0.8,58,44.9,0.335177951458708,35.92,87.2413905755077,32.293986636971,48.575384507521,"DRC (Middle, PlusPlus)"
"DRC",3,"obv_20",0.2,35,6,0.599911432808834,1.2,87.4806302157509,583.333333333333,1458.01050359585,"DRC (Middle, PlusPlus)"
"DRC",3,"obv_30",0.3,184,53,0.599911432808834,15.9,459.89817027709,231.446540880503,578.488264499485,"DRC (Middle, PlusPlus)"
"DRC",3,"obv_40",0.4,3,0,0.599911432808834,0,7.49833973277865,NA,NA,"DRC (Middle, PlusPlus)"
"DRC",3,"obv_50",0.5,74,31,0.599911432808834,15.5,184.959046741873,95.4838709677419,238.656834505643,"DRC (Middle, PlusPlus)"
"DRC",3,"obv_60",0.6,86,46,0.599911432808834,27.6,214.952405672988,62.3188405797101,155.762612806513,"DRC (Middle, PlusPlus)"
"DRC",3,"obv_70",0.7,131,86,0.599911432808834,60.2,327.427501664668,43.5215946843854,108.779900885272,"DRC (Middle, PlusPlus)"
"DRC",3,"obv_80",0.8,6,3,0.599911432808834,2.4,14.9966794655573,50,124.972328879644,"DRC (Middle, PlusPlus)"
"DRC",4,"obv_20",0.2,3,0,0.601348187793552,0,7.52536400974995,NA,NA,"DRC (Middle, PlusPlus)"
"DRC",4,"obv_30",0.3,365,115,0.601348187793552,34.5,915.585954519578,211.594202898551,530.774466388161,"DRC (Middle, PlusPlus)"
"DRC",4,"obv_40",0.4,73,27,0.601348187793552,10.8,183.117190903915,135.185185185185,339.105909081325,"DRC (Middle, PlusPlus)"
"DRC",4,"obv_50",0.5,401,193,0.601348187793552,96.5,1005.89032263658,83.1088082901554,208.474678266648,"DRC (Middle, PlusPlus)"
"DRC",4,"obv_60",0.6,20,13,0.601348187793552,7.8,50.169093398333,51.2820512820513,128.638701021367,"DRC (Middle, PlusPlus)"
"DRC",4,"obv_70",0.7,54,41,0.601348187793552,28.7,135.456552175499,37.6306620209059,94.3948098783966,"DRC (Middle, PlusPlus)"
"DRC",4,"obv_80",0.8,379,310,0.601348187793552,248,950.704319898411,30.5645161290323,76.6697032176138,"DRC (Middle, PlusPlus)"
"DRC",5,"obv_20",0.2,39.4,8.2,0.584197413042506,1.64,94.7565052163269,480.487804878049,1155.56713678447,"DRC (Middle, PlusPlus)"
"DRC",5,"obv_30",0.3,202,58.3,0.584197413042506,17.49,485.807463291828,230.989136649514,555.525972889455,"DRC (Middle, PlusPlus)"
"DRC",5,"obv_40",0.4,40.9,16.3,0.584197413042506,6.52,98.363986379385,125.460122699386,301.730019568666,"DRC (Middle, PlusPlus)"
"DRC",5,"obv_50",0.5,85.7,43,0.584197413042506,21.5,206.107423782721,79.7209302325581,191.72783607695,"DRC (Middle, PlusPlus)"
"DRC",5,"obv_60",0.6,139.2,83.5,0.584197413042506,50.1,334.774251931795,55.5688622754491,133.642415940836,"DRC (Middle, PlusPlus)"
"DRC",5,"obv_70",0.7,32.1,22.3,0.584197413042506,15.61,77.200096889444,41.1274823830878,98.9110786539962,"DRC (Middle, PlusPlus)"
"DRC",5,"obv_80",0.8,92.8,74,0.584197413042506,59.2,223.182834621196,31.3513513513514,75.3996062909447,"DRC (Middle, PlusPlus)"
"DRC",6,"obv_20",0.2,86,14.9,0.629484400677204,2.98,232.108985848869,577.181208053691,1557.7784285159,"DRC (Middle, PlusPlus)"
"DRC",6,"obv_30",0.3,101.2,28.9,0.629484400677204,8.67,273.132899626808,233.448673587082,630.064359000711,"DRC (Middle, PlusPlus)"
"DRC",6,"obv_40",0.4,133.4,51.4,0.629484400677204,20.56,360.038822235338,129.766536964981,350.232317349551,"DRC (Middle, PlusPlus)"
"DRC",6,"obv_50",0.5,121.4,58.7,0.629484400677204,29.35,327.651521884333,82.7257240204429,223.271905883702,"DRC (Middle, PlusPlus)"
"DRC",6,"obv_60",0.6,226.7,136.9,0.629484400677204,82.14,611.850082464402,55.1984416849282,148.9773758131,"DRC (Middle, PlusPlus)"
"DRC",6,"obv_70",0.7,172,120.6,0.629484400677204,84.42,464.217971697738,40.7486377635631,109.978197511902,"DRC (Middle, PlusPlus)"
"DRC",6,"obv_80",0.8,139,109.4,0.629484400677204,87.52,375.152895732474,31.764168190128,85.7296379644593,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_20",0.2,50,7,0.848796901199967,1.4,330.681053475797,714.285714285714,4724.01504965425,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_30",0.3,16,7,0.848796901199967,2.1,105.817937112255,152.380952380952,1007.78987725957,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_40",0.4,133,52,0.848796901199967,20.8,879.611602245621,127.884615384615,845.780386774636,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_50",0.5,69,35,0.848796901199967,17.5,456.3398537966,78.8571428571429,521.531261481829,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_60",0.6,24,16,0.848796901199967,9.6,158.726905668383,50,330.681053475797,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_70",0.7,18,15,0.848796901199967,10.5,119.045179251287,34.2857142857143,226.752722383404,"DRC (Middle, PlusPlus)"
"DRC",7,"obv_80",0.8,30,18,0.848796901199967,14.4,198.408632085478,41.6666666666667,275.567544563165,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_20",0.2,271,63,0.33794254096245,12.6,409.330030650149,430.15873015873,649.730207381189,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_30",0.3,34,14,0.33794254096245,4.2,51.3550591959596,161.904761904762,244.547900933141,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_40",0.4,84,34,0.33794254096245,13.6,126.877205072371,123.529411764706,186.584125106428,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_50",0.5,279,136,0.33794254096245,68,421.413573990375,82.0588235294118,123.945168820698,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_60",0.6,114,68,0.33794254096245,40.8,172.190492598218,55.8823529411765,84.4071042148125,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_70",0.7,89,61,0.33794254096245,42.7,134.429419660012,41.6861826697892,62.9645993723709,"DRC (Middle, PlusPlus)"
"DRC",8,"obv_80",0.8,310,250,0.33794254096245,200,468.23730443375,31,46.823730443375,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_20",0.2,83,17.6,0.785171791758489,3.52,386.355221594973,471.590909090909,2195.20012269871,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_30",0.3,58.2,17.1,0.785171791758489,5.13,270.91414333527,226.900584795322,1056.19549058585,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_40",0.4,104.6,41.3,0.785171791758489,16.52,486.900676853424,126.634382566586,589.468131783806,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_50",0.5,125.7,65.7,0.785171791758489,32.85,585.118691017929,76.5296803652968,356.23664597743,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_60",0.6,48.2,28.7,0.785171791758489,17.22,224.365321456358,55.9814169570267,260.586900646176,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_70",0.7,95.1,67.4,0.785171791758489,47.18,442.679296068457,40.3136922424756,187.655487947629,"DRC (Middle, PlusPlus)"
"DRC",9,"obv_80",0.8,110,91.3,0.785171791758489,73.04,512.037040668036,30.1204819277108,140.207294816001,"DRC (Middle, PlusPlus)"
"DRC",10,"obv_20",0.2,116.3,22.9,0.446952094728609,4.58,210.289197177104,507.860262008734,918.293437454603,"DRC (Middle, PlusPlus)"
"DRC",10,"obv_30",0.3,232.3,70,0.446952094728609,21,420.035945866219,221.238095238095,400.034234158304,"DRC (Middle, PlusPlus)"
