"scenario","obv_efficacy","obv_coverage","median_deaths_averted","median_days_lost_averted","coverage_label","efficacy_label"
"DRC",0.5,0.1,4.90186627193419,4.91774405842458,"10%","50%"
"DRC",0.5,0.3,15.1567210075669,15.1609851811797,"30%","50%"
"DRC",0.5,0.5,24.9388891651335,24.8746716324627,"50%","50%"
"DRC",0.5,0.7,34.969301674158,35.0445641185888,"70%","50%"
"DRC",0.5,0.9,45.0459837420777,45.0388396793232,"90%","50%"
"DRC",0.6,0.1,5.92863269402517,5.89196262376271,"10%","60%"
"DRC",0.6,0.3,17.7507216916877,17.907583095353,"30%","60%"
"DRC",0.6,0.5,30.0696089331464,29.9575325409159,"50%","60%"
"DRC",0.6,0.7,42.0135923388635,42.1095220219138,"70%","60%"
"DRC",0.6,0.9,53.9533222195761,53.8315013929273,"90%","60%"
"DRC",0.7,0.1,6.72818325141426,6.82185409510565,"10%","70%"
"DRC",0.7,0.3,20.9004277729377,20.7491233552493,"30%","70%"
"DRC",0.7,0.5,35.0089548278683,35.0947998874477,"50%","70%"
"DRC",0.7,0.7,48.9587929112994,48.7501882285853,"70%","70%"
"DRC",0.7,0.9,63.073459498082,63.1601539299009,"90%","70%"
"DRC",0.8,0.1,7.93279533361906,7.8956326910242,"10%","80%"
"DRC",0.8,0.3,23.9974874371859,23.9073423205127,"30%","80%"
"DRC",0.8,0.5,40.1096557111098,40.197209173528,"50%","80%"
"DRC",0.8,0.7,55.8459070116747,56.0978288442483,"70%","80%"
"DRC",0.8,0.9,72.0850155024963,72.0385529193408,"90%","80%"
"DRC",0.9,0.1,9.05717577985679,8.98116301616157,"10%","90%"
"DRC",0.9,0.3,26.9838686890093,26.9637447330763,"30%","90%"
"DRC",0.9,0.5,44.9822107716845,44.8670055634656,"50%","90%"
"DRC",0.9,0.7,63.0085158150852,62.7628223252314,"70%","90%"
"DRC",0.9,0.9,80.9969549506492,80.7757409616375,"90%","90%"
"WestAfrica",0.5,0.1,5.01427201315309,4.99900082644408,"10%","50%"
"WestAfrica",0.5,0.3,15.0225403462969,15.0512446639197,"30%","50%"
"WestAfrica",0.5,0.5,24.8907378804137,24.9572959717074,"50%","50%"
"WestAfrica",0.5,0.7,34.9870411718199,35.0316948203127,"70%","50%"
"WestAfrica",0.5,0.9,45.0560336583495,45.0561858594947,"90%","50%"
"WestAfrica",0.6,0.1,6.00554017808328,6.00314851481197,"10%","60%"
"WestAfrica",0.6,0.3,18.0474443605733,18.0220966774709,"30%","60%"
"WestAfrica",0.6,0.5,30.0344877435271,30.0058965995245,"50%","60%"
"WestAfrica",0.6,0.7,42.0383415465829,42.0066627255339,"70%","60%"
"WestAfrica",0.6,0.9,54.02350272925,54.0584734046081,"90%","60%"
"WestAfrica",0.7,0.1,7.04178555878552,7.00406588673599,"10%","70%"
"WestAfrica",0.7,0.3,20.979454655178,20.990978260718,"30%","70%"
"WestAfrica",0.7,0.5,34.9974994290421,35.0621682284617,"50%","70%"
"WestAfrica",0.7,0.7,48.9041569641497,49.0016796003204,"70%","70%"
"WestAfrica",0.7,0.9,63.0369556783044,62.9914363539815,"90%","70%"
"WestAfrica",0.8,0.1,7.98514281714668,8.01471540357176,"10%","80%"
"WestAfrica",0.8,0.3,23.9686943358218,23.9806768412052,"30%","80%"
"WestAfrica",0.8,0.5,39.9984502395589,40.0104686125159,"50%","80%"
"WestAfrica",0.8,0.7,56.0835317127056,56.0411166310907,"70%","80%"
"WestAfrica",0.8,0.9,72.0474935548465,72.0051512382265,"90%","80%"
"WestAfrica",0.9,0.1,9.01207663756943,9.017694932552,"10%","90%"
"WestAfrica",0.9,0.3,26.9845037969319,26.9944554528642,"30%","90%"
"WestAfrica",0.9,0.5,44.9292807019887,44.955187942479,"50%","90%"
"WestAfrica",0.9,0.7,62.8915250268425,63.0132575069304,"70%","90%"
"WestAfrica",0.9,0.9,80.9603156433245,81.0201471060047,"90%","90%"
